b_number,cog_desc,cog_id,cog_category,cog_letter,cog_class
b0027,signal peptidase II (EC:3.4.23.36). Aspartic peptidase. MEROPS family A08,COG0597,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b0098,protein translocase subunit secA,COG0653,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b0106,"assembly protein in type IV pilin biogenesis, transmembrane protein",COG1459,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b0107,conserved protein with nucleoside triphosphate hydrolase domain,COG2804,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b0407,protein translocase subunit yajC,COG1862,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b0408,SecYEG protein translocase auxillary subunit,COG0342,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b0409,protein translocase subunit secF,COG0341,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b0737,Cell division and transport-associated protein TolQ (TC 2.C.1.2.1),COG0811,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b0738,Cell division and transport-associated protein TolR (TC 2.C.1.2.1),COG0848,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b0740,periplasmic protein,COG0823,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b1070,export chaperone for FlgK and FlgL,COG3418,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b1202,predicted adhesin,COG3468,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b1767,asparaginase (EC 3.5.1.1),COG0252,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b1925,flagellar protein potentiates polymerization,COG1516,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b1938,flagellar basal-body MS-ring and collar protein,COG1766,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b1940,negative regulator of FliI ATPase activity,COG1317,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b1941,flagellum-specific ATP synthase,COG1157,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b1946,flagellar motor switching and energizing component,COG1886,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b2198,cytochrome c biogenesis protein,COG3114,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b2233,adhesin,COG3468,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b2610,signal recognition particle subunit FFH/SRP54 (srp54),COG0541,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b2825,conserved protein,COG4795,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b2826,conserved protein,COG2165,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b2899,"inner membrane protein, hemolysin III family HylIII",COG1272,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b2957,asparaginase (EC 3.5.1.1),COG0252,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b2968,"predicted secretion pathway M-type protein, membrane anchored",COG3149,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b2972,bifunctional prepilin leader peptidase/ methylase,COG1989,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
b3005,outer membrane transport energization protein ExbD (TC 2.C.1.1.1),COG0848,"intracellular trafficking, secretion, and vesicular transport",U,cellular processes and signaling
