gene,bnumber,COG class,molecular_weight_kDa,sequence_length,condition,copy_number_molecule-per-fL,growth_rate_hr-1,,,,,,,,,,
thra,b0002,[e],89.119,820,rich,1472.647817,0.22,,,,,,,,,,
thrb,b0003,[e],33.623,310,rich,295.9107401,0.22,,,,,,,,,,
thrc,b0004,[e],47.113,428,rich,3198.951359,0.22,,,,,,,,,,
yaaa,b0006,[s],29.585,258,rich,162.1210053,0.22,,,,,,,,,,
talb,b0008,[g],35.219,317,rich,13765.04187,0.22,,,,,,,,,,
mog,b0009,[h],21.222,195,rich,111.6164646,0.22,,,,,,,,,,
dnak,b0014,[o],69.114,638,rich,13364.911,0.22,,,,,,,,,,
dnaj,b0015,[o],41.1,376,rich,548.5066259,0.22,,,,,,,,,,
rpst,b0023,[j],9.6843,87,rich,12883.70217,0.22,,,,,,,,,,
ribf,b0025,[h],34.734,313,rich,591.8357747,0.22,,,,,,,,,,
iles,b0026,[j],104.3,938,rich,1546.661115,0.22,,,,,,,,,,
fkpb,b0028,[o],16.081,149,rich,469.0978997,0.22,,,,,,,,,,
isph,b0029,[im],34.774,316,rich,,0.22,,,,,,,,,,
rihc,b0030,[f],32.56,304,rich,56.62224373,0.22,,,,,,,,,,
dapb,b0031,[e],28.756,273,rich,275.6012699,0.22,,,,,,,,,,
cara,b0032,[ef],41.431,382,rich,1023.244559,0.22,,,,,,,,,,
carb,b0033,[ef],117.84,1073,rich,1252.191767,0.22,,,,,,,,,,
fola,b0048,[h],17.999,159,rich,,0.22,,,,,,,,,,
apah,b0049,[t],31.296,280,rich,,0.22,,,,,,,,,,
rsma,b0051,,30.42,273,rich,166.6359122,0.22,,,,,,,,,,
sura,b0053,[o],47.283,428,rich,1653.112688,0.22,,,,,,,,,,
lptd,b0054,,89.67,784,rich,289.400131,0.22,,,,,,,,,,
rapa,b0059,,109.77,968,rich,52.17046939,0.22,,,,,,,,,,
thib,b0068,,36.163,327,rich,467.5376059,0.22,,,,,,,,,,
leud,b0071,[e],22.487,201,rich,2887.09132,0.22,,,,,,,,,,
leuc,b0072,[e],49.881,466,rich,2045.092228,0.22,,,,,,,,,,
leub,b0073,,39.517,363,rich,2007.088902,0.22,,,,,,,,,,
leua,b0074,[e],57.297,523,rich,2171.819933,0.22,,,,,,,,,,
ilvi,b0077,,62.984,574,rich,379.4510757,0.22,,,,,,,,,,
ilvh,b0078,[e],17.977,163,rich,837.8134926,0.22,,,,,,,,,,
cra,b0080,,37.999,334,rich,214.6180532,0.22,,,,,,,,,,
rsmh,b0082,,34.877,313,rich,144.683669,0.22,,,,,,,,,,
mure,b0085,[m],53.343,495,rich,83.95986198,0.22,,,,,,,,,,
