condition,frac_count,frac_mass,uniprot_bio_process
42C,0.011128704850020026,0.013749601360221467,ATP synthesis
42C,0.07818364975463764,0.12061810585940429,Amino-acid biosynthesis
42C,0.017442121158922002,0.019126009948854442,Amino-acid transport
42C,3.799943608836845e-07,6.880462317674991e-07,Ammonia transport
42C,0.0801772901690139,0.10221443593918579,Antibiotic resistance
42C,5.1299238719297406e-05,9.458787791209225e-05,Antiport
42C,1.2159819548277903e-05,1.4425380710599739e-05,Antiviral defense
42C,0.007243452507164794,0.01211553480839394,Arginine biosynthesis
42C,6.554902725243557e-05,0.00011523398289642076,Arginine metabolism
42C,0.005727275007238892,0.007656775051746378,Aromatic amino acid biosynthesis
42C,2.9259565788043707e-05,5.4422491086432704e-05,Aromatic hydrocarbons catabolism
42C,0.0,2.0051633040081404e-09,Arsenical resistance
42C,0.00015142775281214827,0.00016017716275547382,Ascorbate biosynthesis
42C,0.0005031125338099983,0.0009616920473733159,Asparagine biosynthesis
42C,0.0026624304895315355,0.0017731934315836694,Autoinducer synthesis
42C,1.1209833646068693e-05,6.015489912024421e-06,Bacterial flagellum biogenesis
42C,8.739870300324742e-06,5.1505175063738505e-06,Bacterial flagellum protein export
42C,0.0004250236926484011,0.0003512574305491907,Bacteriocin transport
42C,0.00013622797837680088,0.000125027829544037,Bile acid catabolism
42C,0.00023521650938700068,0.00026632500369981057,Biotin biosynthesis
42C,0.012994477161958916,0.019161261899246728,Branched-chain amino acid biosynthesis
42C,0.0007449789445124634,0.0004871582384507481,Capsule biogenesis/degradation
42C,0.006742999933880982,0.010220125100753872,Carbohydrate metabolism
42C,0.0006970996550411192,0.0023708107300331543,Carbon dioxide fixation
42C,0.0005692315526037593,0.0013191065087736374,Cell adhesion
42C,0.03585664788734535,0.04305791549139269,Cell cycle
42C,0.03585664788734535,0.04305791549139269,Cell division
42C,0.003562447133284542,0.00488511762997881,Cell shape
42C,0.0026079012987447266,0.00361948047167597,Cell wall biogenesis/degradation
42C,6.459904135022636e-06,1.4193410838175267e-05,Cellulose biosynthesis
42C,0.0026280409998715617,0.0038764659987328537,Chemotaxis
42C,0.00015826765130805458,0.0001486179860617798,Chromate resistance
42C,0.00011855824059570956,0.0004395160694675726,Chromosome partition
42C,3.5149478381740815e-05,4.144004161616823e-05,Cobalamin biosynthesis
42C,5.6619159771668986e-05,5.406077535316064e-05,Coenzyme A biosynthesis
42C,0.01754794958842811,0.020083086582105062,Conjugation
42C,0.0015393571559398059,0.004079524400468326,Copper transport
42C,0.018622193646646284,0.02303971953232883,Cysteine biosynthesis
42C,0.00042692366445281954,0.0006935506016216391,Cytosine metabolism
42C,0.026886501004325096,0.009397453384263092,DNA condensation
42C,0.0035141878494523143,0.0038447323078737764,DNA damage
42C,0.00016377756954086801,0.0002744950612404555,DNA excision
42C,3.4199492479531603e-06,3.975216591732374e-06,DNA integration
42C,0.00403668009566738,0.0022891539930009006,DNA recombination
42C,0.0035136178579109885,0.0038442133244303866,DNA repair
42C,0.010475874538021856,0.022879943323600306,DNA replication
42C,1.3299802630928956e-06,1.0654887360513842e-06,DNA synthesis
42C,0.0013491699783175217,0.00042493735273960745,Deoxyribonucleotide synthesis
