condition,frac_count,frac_mass,growth_rate_hr,uniprot_bio_process
42C,0.011128704850020026,0.013749601360221467,0.66,ATP synthesis
42C,0.07818364975463764,0.12061810585940429,0.66,Amino-acid biosynthesis
42C,0.017442121158922002,0.019126009948854442,0.66,Amino-acid transport
42C,3.799943608836845e-07,6.880462317674991e-07,0.66,Ammonia transport
42C,0.0801772901690139,0.10221443593918579,0.66,Antibiotic resistance
42C,5.1299238719297406e-05,9.458787791209225e-05,0.66,Antiport
42C,1.2159819548277903e-05,1.4425380710599739e-05,0.66,Antiviral defense
42C,0.007243452507164794,0.01211553480839394,0.66,Arginine biosynthesis
42C,6.554902725243557e-05,0.00011523398289642076,0.66,Arginine metabolism
42C,0.005727275007238892,0.007656775051746378,0.66,Aromatic amino acid biosynthesis
42C,2.9259565788043707e-05,5.4422491086432704e-05,0.66,Aromatic hydrocarbons catabolism
42C,0.0,2.0051633040081404e-09,0.66,Arsenical resistance
42C,0.00015142775281214827,0.00016017716275547382,0.66,Ascorbate biosynthesis
42C,0.0005031125338099983,0.0009616920473733159,0.66,Asparagine biosynthesis
42C,0.0026624304895315355,0.0017731934315836694,0.66,Autoinducer synthesis
42C,1.1209833646068693e-05,6.015489912024421e-06,0.66,Bacterial flagellum biogenesis
42C,8.739870300324742e-06,5.1505175063738505e-06,0.66,Bacterial flagellum protein export
42C,0.0004250236926484011,0.0003512574305491907,0.66,Bacteriocin transport
42C,0.00013622797837680088,0.000125027829544037,0.66,Bile acid catabolism
42C,0.00023521650938700068,0.00026632500369981057,0.66,Biotin biosynthesis
42C,0.012994477161958916,0.019161261899246728,0.66,Branched-chain amino acid biosynthesis
42C,0.0007449789445124634,0.0004871582384507481,0.66,Capsule biogenesis/degradation
42C,0.006742999933880982,0.010220125100753872,0.66,Carbohydrate metabolism
42C,0.0006970996550411192,0.0023708107300331543,0.66,Carbon dioxide fixation
42C,0.0005692315526037593,0.0013191065087736374,0.66,Cell adhesion
42C,0.03585664788734535,0.04305791549139269,0.66,Cell cycle
42C,0.03585664788734535,0.04305791549139269,0.66,Cell division
42C,0.003562447133284542,0.00488511762997881,0.66,Cell shape
42C,0.0026079012987447266,0.00361948047167597,0.66,Cell wall biogenesis/degradation
42C,6.459904135022636e-06,1.4193410838175267e-05,0.66,Cellulose biosynthesis
42C,0.0026280409998715617,0.0038764659987328537,0.66,Chemotaxis
42C,0.00015826765130805458,0.0001486179860617798,0.66,Chromate resistance
42C,0.00011855824059570956,0.0004395160694675726,0.66,Chromosome partition
42C,3.5149478381740815e-05,4.144004161616823e-05,0.66,Cobalamin biosynthesis
42C,5.6619159771668986e-05,5.406077535316064e-05,0.66,Coenzyme A biosynthesis
42C,0.01754794958842811,0.020083086582105062,0.66,Conjugation
42C,0.0015393571559398059,0.004079524400468326,0.66,Copper transport
42C,0.018622193646646284,0.02303971953232883,0.66,Cysteine biosynthesis
42C,0.00042692366445281954,0.0006935506016216391,0.66,Cytosine metabolism
42C,0.026886501004325096,0.009397453384263092,0.66,DNA condensation
42C,0.0035141878494523143,0.0038447323078737764,0.66,DNA damage
42C,0.00016377756954086801,0.0002744950612404555,0.66,DNA excision
42C,3.4199492479531603e-06,3.975216591732374e-06,0.66,DNA integration
42C,0.00403668009566738,0.0022891539930009006,0.66,DNA recombination
42C,0.0035136178579109885,0.0038442133244303866,0.66,DNA repair
42C,0.010475874538021856,0.022879943323600306,0.66,DNA replication
42C,1.3299802630928956e-06,1.0654887360513842e-06,0.66,DNA synthesis
42C,0.0013491699783175217,0.00042493735273960745,0.66,Deoxyribonucleotide synthesis
42C,0.002699859934078578,0.0013855285261420952,0.66,Detoxification
42C,0.006919697311691894,0.00791150942521047,0.66,Diaminopimelate biosynthesis
42C,0.012972817483388547,0.009784500774109191,0.66,Electron transport
42C,0.00012691811653515062,0.00018970417533018192,0.66,Enterobactin biosynthesis
42C,6.459904135022636e-06,7.315386170007111e-06,0.66,Exopolysaccharide synthesis
42C,0.01766555784312161,0.012334585138432193,0.66,Fatty acid biosynthesis
42C,0.017865624874126868,0.012732920343469874,0.66,Fatty acid metabolism
42C,0.0,1.871485750407598e-09,0.66,Fimbrium biogenesis
42C,6.839898495906321e-06,4.710167918042652e-06,0.66,Flagellar rotation
42C,0.00011589828006952377,0.00015172402333661598,0.66,Folate biosynthesis
42C,0.00013337802067017325,7.8638179921171e-05,0.66,Fucose metabolism
42C,0.0021368982884293996,0.003959214602227839,0.66,GMP biosynthesis
42C,0.0016229559153342163,0.0012534236496427357,0.66,Galactitol metabolism
42C,0.0002122268505535378,0.00028819307879175823,0.66,Galactose metabolism
42C,0.0034218492197575787,0.0058877098975533134,0.66,Gluconate utilization
42C,0.006015690727149609,0.007297791844937626,0.66,Gluconeogenesis
42C,0.0024331038927382317,0.005298742323160336,0.66,Glucose metabolism
42C,0.0009963452142370207,0.003939556138463052,0.66,Glutamate biosynthesis
42C,0.00030247551126341287,0.0004570199656037377,0.66,Glutathione biosynthesis
42C,0.0003473148458476876,0.0005130072704058475,0.66,Glycerol metabolism
42C,0.00017973733269798276,0.0003428436080578624,0.66,Glycogen biosynthesis
42C,0.00013128805168531298,0.00030706520400595246,0.66,Glycogen metabolism
42C,0.042961022458426715,0.06394819628829726,0.66,Glycolysis
42C,0.020252559452017732,0.03409379558974316,0.66,Glyoxylate bypass
42C,8.891868044678218e-05,0.00010875848493230035,0.66,Heme biosynthesis
42C,0.003916791874808578,0.004637431602112945,0.66,Histidine biosynthesis
42C,0.020472576186969384,0.022367400071573163,0.66,Host-virus interaction
42C,0.011381591097188119,0.014394398971706437,0.66,Hydrogen ion transport
42C,0.0008255377490198045,0.002284706658743393,0.66,Hydrogen peroxide
42C,0.041132489593854425,0.05596202716306234,0.66,Ion transport
42C,0.0018612123796082865,0.0011960209354495615,0.66,Iron storage
42C,0.0005741714792952472,0.001276219604224381,0.66,Iron transport
42C,0.0022336068532742975,0.0011008739708279988,0.66,Isoleucine biosynthesis
42C,0.0005095724379450209,0.0005038228361349395,0.66,Isoprene biosynthesis
42C,0.002807208341028219,0.004155406070600399,0.66,Leucine biosynthesis
42C,0.001324850339220966,0.0008770973529314149,0.66,Lipid A biosynthesis
42C,0.01945799124340995,0.013934539930765788,0.66,Lipid biosynthesis
42C,0.0002243866701018157,0.0002909059467912986,0.66,Lipid degradation
42C,0.019797896199220403,0.014462070559665639,0.66,Lipid metabolism
42C,9.974851973196717e-05,0.00017342696733293938,0.66,Lipid transport
42C,0.004207677558065039,0.004619463097844161,0.66,Lipopolysaccharide biosynthesis
42C,0.008299836830421436,0.010094385241652274,0.66,Lysine biosynthesis
42C,0.0,2.009094996761098e-09,0.66,Maltose metabolism
42C,0.0004233137180244245,0.000387830036537198,0.66,Menaquinone biosynthesis
42C,0.011091465402653424,0.02423581910163345,0.66,Methionine biosynthesis
42C,4.388934868206556e-05,2.7128679995404252e-05,0.66,Methotrexate resistance
42C,0.00176564379784604,0.0011174814410164892,0.66,Molybdenum cofactor biosynthesis
42C,7.59988721767369e-07,7.077046955322848e-07,0.66,Nickel transport
42C,0.0003765744116357313,0.0003222907824840978,0.66,Nitrate assimilation
42C,1.880972086374238e-05,3.161080973377539e-05,0.66,Nitrogen fixation
42C,0.002361854950072541,0.002430533142950573,0.66,Nucleotide biosynthesis
42C,0.0035837268174940284,0.002155353967171103,0.66,Nucleotide metabolism
42C,0.009135444430004658,0.01244309985841381,0.66,One-carbon metabolism
42C,4.3699351501623716e-05,6.56592689743842e-05,0.66,Oxygen transport
42C,7.789884398115532e-06,1.1401908983575699e-05,0.66,PHB biosynthesis
42C,0.0009657556681858841,0.0008952818250831169,0.66,Pantothenate biosynthesis
42C,0.007234902634044911,0.010481892879383729,0.66,Pentose shunt
42C,0.0019725507273472063,0.003877584522072449,0.66,Peptide transport
42C,0.002555462076942778,0.0036134116090348247,0.66,Peptidoglycan synthesis
42C,0.0002171667772450257,0.0003216124671918939,0.66,Phenylalanine biosynthesis
42C,0.00020614694077939884,0.00026377789586673483,0.66,Phosphate transport
42C,0.00044858334302318956,0.0006867644999300351,0.66,Phospholipid biosynthesis
42C,0.00044858334302318956,0.0006867644999300351,0.66,Phospholipid metabolism
42C,0.014809140232358952,0.01125613514473448,0.66,Phosphotransferase system
42C,9.879853382975796e-06,1.8321688228780263e-05,0.66,Plasmid copy control
42C,0.0006402904980890084,0.0009251273047708146,0.66,Polyamine biosynthesis
42C,5.699915413255267e-06,1.1755761331341842e-05,0.66,Polysaccharide degradation
42C,0.0008194578392456656,0.0011984957709064523,0.66,Porphyrin biosynthesis
42C,1.5769765976672905e-05,3.4389730171565496e-05,0.66,Potassium transport
42C,0.0005274321729065541,0.0007077046955322848,0.66,Proline biosynthesis
42C,2.1469681389928175e-05,0.00010576253505454701,0.66,Proline metabolism
42C,0.07754753919451836,0.12679984346779477,0.66,Protein biosynthesis
42C,0.007754544922553349,0.008074650809083183,0.66,Protein transport
42C,0.00975445524388418,0.014903081380084032,0.66,Purine biosynthesis
42C,6.25090723653661e-05,3.388725983773757e-05,0.66,Purine metabolism
42C,0.0011285832518245428,0.0007073115262569891,0.66,Purine salvage
42C,0.00028746573400850734,0.0005504369854139993,0.66,Putrescine biosynthesis
42C,0.00033705499810382815,0.0004361466087782883,0.66,Pyridine nucleotide biosynthesis
42C,0.0044187644255359254,0.00571554107190132,0.66,Pyridoxine biosynthesis
42C,0.007961641849234957,0.0103656484514498,0.66,Pyrimidine biosynthesis
42C,0.0003340150432167587,0.00038318277570320266,0.66,Queuosine biosynthesis
42C,0.0030137352761685017,0.00244551289233934,0.66,Quorum sensing
42C,7.789884398115532e-06,1.25027829544037e-05,0.66,RNA repair
42C,0.0006074209858725697,0.0010694204288043416,0.66,Respiratory chain
42C,8.948867198810769e-05,0.0001730652515996673,0.66,Restriction system
42C,0.001166962682273795,0.0007470216230618562,0.66,Riboflavin biosynthesis
42C,0.0015634867978559198,0.0011452604229932326,0.66,Ribosome biogenesis
42C,0.0006197708026012894,0.0008813557693521427,0.66,SOS response
42C,0.004197987701862504,0.0031215871196740848,0.66,Septation
42C,0.005519038097474634,0.007814868417342784,0.66,Serine biosynthesis
42C,4.008940507322871e-05,7.891300524460271e-05,0.66,Sodium transport
42C,0.0006513103345546352,0.0009551654374034071,0.66,Spermidine biosynthesis
42C,0.00013622797837680088,0.000125027829544037,0.66,Steroid metabolism
42C,0.03544131405089949,0.04795533774701116,0.66,Stress response
42C,0.016719561881701674,0.013514570861573457,0.66,Sugar transport
42C,0.0010259847743859481,0.001321913737399249,0.66,Sulfate transport
42C,0.00016130760619512406,0.0002887045920189179,0.66,Symport
42C,6.022910620006399e-05,4.639397448489423e-05,0.66,Tellurium resistance
42C,0.00011703826315217483,0.00022603301636750587,0.66,Thiamine biosynthesis
42C,0.004696160308981015,0.008219203700056897,0.66,Threonine biosynthesis
42C,0.00014857779510552065,6.272229448792522e-05,0.66,Toxin-antitoxin system
42C,0.046985922728906705,0.03814255008306033,0.66,Transcription
42C,0.0018471525882555902,0.002198406002815984,0.66,Transcription antitermination
42C,0.04070993586455177,0.025157151843231144,0.66,Transcription regulation
42C,0.008772929809721624,0.008154330769633103,0.66,Transcription termination
42C,0.039176088626844775,0.02382056943983713,0.66,Translation regulation
42C,0.005192432944295107,0.0037190903990337336,0.66,Translocation
42C,0.10237086081642549,0.1147695414282596,0.66,Transport
42C,6.459904135022636e-06,8.335188636269132e-06,0.66,Transposition
42C,0.041442564992335514,0.06365105074510702,0.66,Tricarboxylic acid cycle
42C,4.388934868206556e-05,2.7128679995404252e-05,0.66,Trimethoprim resistance
42C,0.0023527350854113324,0.0033922645072514187,0.66,Tryptophan biosynthesis
42C,0.00014477785149668378,0.0002621491528268949,0.66,Tryptophan catabolism
42C,0.002939826372976625,0.002772043427498667,0.66,Two-component regulatory system
42C,0.000234836515026117,0.0003389119153049053,0.66,Tyrosine biosynthesis
42C,0.0007677786061654846,0.0005845880618354603,0.66,Ubiquinone biosynthesis
42C,0.0,1.2070296751578412e-08,0.66,Viral genome integration
42C,0.00033477503193852603,0.00042344330949348376,0.66,Virulence
42C,0.0,1.2070296751578412e-08,0.66,Virus entry into host cell
42C,5.699915413255267e-06,1.1755761331341842e-05,0.66,Xylan degradation
42C,7.4668891913644e-05,0.00012876293765934628,0.66,Xylose metabolism
42C,4.445934022339109e-05,5.7324080338115076e-05,0.66,Zinc transport
42C,1.1399830826510534e-06,3.55818194142621e-06,0.66,cAMP biosynthesis
42C,0.00015218774153391565,0.00014334951777281724,0.66,mRNA processing
42C,0.0017069346690895108,0.0023592118432426553,0.66,rRNA processing
42C,0.005109594173622463,0.007617128388872388,0.66,tRNA processing
acetate,0.01260612947006281,0.015285061981082117,0.3,ATP synthesis
acetate,0.06355642878936128,0.08836189158959278,0.3,Amino-acid biosynthesis
acetate,0.02155493482309125,0.022221951553228026,0.3,Amino-acid transport
acetate,0.0,1.6594329010254238e-07,0.3,Ammonia transport
acetate,0.05881492703763322,0.07436123629044647,0.3,Antibiotic resistance
acetate,0.00012809182632116066,0.0002397364841295572,0.3,Antiport
acetate,6.312533535334406e-06,7.168750132429829e-06,0.3,Antiviral defense
acetate,0.0038303927447947902,0.0059817194837209365,0.3,Arginine biosynthesis
acetate,6.97008911193174e-05,0.0001137809315890786,0.3,Arginine metabolism
acetate,0.004449021031257562,0.00550722379297542,0.3,Aromatic amino acid biosynthesis
acetate,4.5765868131174444e-05,6.38192363997439e-05,0.3,Aromatic hydrocarbons catabolism
acetate,2.630222306389336e-07,1.0569311092685005e-07,0.3,Arsenical resistance
acetate,0.00010441982556365664,0.00010365073197174184,0.3,Ascorbate biosynthesis
acetate,0.0003963745015728729,0.0006816439762673663,0.3,Asparagine biosynthesis
