Entry	Status	Mass	Keyword ID
P0A776	reviewed	20,795	KW-0002; KW-0378; KW-0460; KW-0464; KW-0819; KW-0862; KW-1185
P37351	reviewed	16,073	KW-0002; KW-0119; KW-0413; KW-1185
P0A6Y8	reviewed	69,115	KW-0002; KW-0007; KW-0067; KW-0143; KW-0235; KW-0346; KW-0472; KW-0547; KW-0597; KW-0903; KW-0963; KW-0997; KW-1003; KW-1185
P08622	reviewed	41,100	KW-0002; KW-0143; KW-0235; KW-0346; KW-0479; KW-0677; KW-0862; KW-0863; KW-0903; KW-0963; KW-1185
P0A7U7	reviewed	9,684	KW-0002; KW-0687; KW-0689; KW-0694; KW-0699; KW-0903; KW-1185
P22564	reviewed	32,561	KW-0326; KW-0378; KW-1185
P04036	reviewed	28,757	KW-0002; KW-0028; KW-0220; KW-0457; KW-0520; KW-0521; KW-0560; KW-0903; KW-0963; KW-1185
P0A6F1	reviewed	41,431	KW-0002; KW-0028; KW-0055; KW-0067; KW-0315; KW-0436; KW-0547; KW-0665; KW-0903; KW-1185
P00968	reviewed	117,842	KW-0002; KW-0028; KW-0055; KW-0067; KW-0436; KW-0464; KW-0479; KW-0547; KW-0665; KW-0677; KW-0903; KW-1185
P0AE58	reviewed	15,436	KW-0010; KW-0804; KW-0805; KW-1185
P39206	reviewed	21,244	KW-0677; KW-0808; KW-1185
P31551	reviewed	28,190	KW-0456; KW-0903; KW-1185
P31572	reviewed	45,127	KW-0002; KW-0808; KW-0903; KW-0963; KW-1185
P60566	reviewed	27,144	KW-0249; KW-0813; KW-1185
P31574	reviewed	33,513	KW-0249; KW-0274; KW-0285; KW-0813; KW-1185
P68644	reviewed	45,703	KW-0249; KW-0274; KW-0285; KW-0560; KW-0813; KW-1185
P0A754	reviewed	20,170	KW-0002; KW-0285; KW-0288; KW-0472; KW-0520; KW-0560; KW-0997; KW-1003; KW-1185
P03819	reviewed	67,796	KW-0002; KW-0050; KW-0406; KW-0472; KW-0547; KW-0630; KW-0633; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P0ABQ4	reviewed	17,999	KW-0002; KW-0046; KW-0487; KW-0521; KW-0554; KW-0560; KW-0817; KW-0903; KW-1185
P05637	reviewed	31,297	KW-0378; KW-1185
P0ABZ6	reviewed	47,284	KW-0002; KW-0143; KW-0413; KW-0574; KW-0677; KW-0697; KW-0732; KW-0903; KW-1185
P31554	reviewed	89,671	KW-0002; KW-0472; KW-0732; KW-0903; KW-0998; KW-1015; KW-1185
P0AA37	reviewed	24,861	KW-0002; KW-0413; KW-0698; KW-0819; KW-0903; KW-1185
P08202	reviewed	56,074	KW-0002; KW-0054; KW-0119; KW-0413; KW-0464; KW-0479; KW-1185
P08204	reviewed	61,089	KW-0054; KW-0067; KW-0119; KW-0418; KW-0547; KW-0808; KW-0903; KW-1185
P0A9E0	reviewed	33,384	KW-0002; KW-0010; KW-0054; KW-0119; KW-0238; KW-0678; KW-0804; KW-0805; KW-0963; KW-1185
P31675	reviewed	42,713	KW-0472; KW-0762; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P30126	reviewed	22,487	KW-0028; KW-0100; KW-0432; KW-0456; KW-0903; KW-1185
P0A6A6	reviewed	49,882	KW-0004; KW-0028; KW-0100; KW-0408; KW-0411; KW-0432; KW-0456; KW-0479; KW-0903; KW-1185
P30125	reviewed	39,517	KW-0002; KW-0028; KW-0100; KW-0432; KW-0460; KW-0464; KW-0479; KW-0520; KW-0560; KW-0903; KW-0963; KW-1185
P09151	reviewed	57,298	KW-0028; KW-0100; KW-0432; KW-0808; KW-0903; KW-1185
P0AD68	reviewed	63,877	KW-0121; KW-0131; KW-0132; KW-0133; KW-0378; KW-0472; KW-0573; KW-0645; KW-0717; KW-0812; KW-0961; KW-0997; KW-1003; KW-1133; KW-1185
P22188	reviewed	53,344	KW-0002; KW-0067; KW-0131; KW-0132; KW-0133; KW-0436; KW-0460; KW-0547; KW-0573; KW-0903; KW-0961; KW-0963; KW-1185
P11880	reviewed	47,447	KW-0002; KW-0067; KW-0131; KW-0132; KW-0133; KW-0436; KW-0547; KW-0573; KW-0903; KW-0961; KW-0963; KW-1185
P0A6W3	reviewed	39,875	KW-0131; KW-0132; KW-0133; KW-0460; KW-0464; KW-0472; KW-0573; KW-0808; KW-0812; KW-0961; KW-0997; KW-1003; KW-1133; KW-1185
P14900	reviewed	46,974	KW-0002; KW-0067; KW-0131; KW-0132; KW-0133; KW-0436; KW-0547; KW-0573; KW-0903; KW-0961; KW-0963; KW-1185
P0ABG4	reviewed	45,987	KW-0131; KW-0132; KW-0133; KW-0328; KW-0472; KW-0573; KW-0808; KW-0812; KW-0961; KW-0997; KW-1003; KW-1133; KW-1185
P17443	reviewed	37,815	KW-0002; KW-0131; KW-0132; KW-0133; KW-0328; KW-0472; KW-0573; KW-0808; KW-0903; KW-0961; KW-0997; KW-1003; KW-1185
P17952	reviewed	53,626	KW-0002; KW-0067; KW-0131; KW-0132; KW-0133; KW-0436; KW-0547; KW-0573; KW-0903; KW-0961; KW-0963; KW-1185
