frac_count,frac_mass,group,condition,growth_rate_hr
0.18732012016941668,0.19609748956496853,Cellular Processes and Signaling,42C,0.66
0.3785026930200356,0.29203476205617523,Information Storage and Processing,42C,0.66
0.3399444752239877,0.4517865129940231,Metabolism,42C,0.66
0.026406758123709444,0.018609221730727477,Not Assigned,42C,0.66
0.06782595346285061,0.04147201365410538,Poorly Characterized,42C,0.66
0.16658802301970563,0.15328990255496264,Cellular Processes and Signaling,acetate,0.3
0.26664089048806405,0.20010903525065832,Information Storage and Processing,acetate,0.3
0.46053456638155055,0.5854406944528654,Metabolism,acetate,0.3
0.03575813527759366,0.022916277119962924,Not Assigned,acetate,0.3
0.07047838483308609,0.038244090621550784,Poorly Characterized,acetate,0.3
0.17502690940516408,0.15731988575344463,Cellular Processes and Signaling,chemostat_u0.12,0.12
0.2524591466303418,0.1909138578473015,Information Storage and Processing,chemostat_u0.12,0.12
0.4528953809477213,0.5838934598166593,Metabolism,chemostat_u0.12,0.12
0.037744538109304664,0.023828112177482815,Not Assigned,chemostat_u0.12,0.12
0.08187402490746815,0.04404468440511163,Poorly Characterized,chemostat_u0.12,0.12
0.1785466188857943,0.16139672500956243,Cellular Processes and Signaling,chemostat_u0.2,0.2
0.2656982500734241,0.1991724882329979,Information Storage and Processing,chemostat_u0.2,0.2
0.4472489555017666,0.5753401085192517,Metabolism,chemostat_u0.2,0.2
0.0346426957228772,0.023448677026347543,Not Assigned,chemostat_u0.2,0.2
0.07386347981613783,0.04064200121184063,Poorly Characterized,chemostat_u0.2,0.2
0.1758351444170904,0.16266342603593165,Cellular Processes and Signaling,chemostat_u0.35,0.35
0.2831230663202882,0.2131460596503403,Information Storage and Processing,chemostat_u0.35,0.35
0.43992175010242035,0.56278310281736,Metabolism,chemostat_u0.35,0.35
0.03057653273585825,0.022372775536866753,Not Assigned,chemostat_u0.35,0.35
0.07054350642434278,0.03903463595950125,Poorly Characterized,chemostat_u0.35,0.35
0.16970762984448753,0.1619672748359185,Cellular Processes and Signaling,chemostat_u0.5,0.5
0.3319500344592979,0.24957809525251,Information Storage and Processing,chemostat_u0.5,0.5
0.4081695009181792,0.531220242858263,Metabolism,chemostat_u0.5,0.5
0.026093100992657214,0.020370426994370687,Not Assigned,chemostat_u0.5,0.5
0.06407973378537814,0.0368639600589378,Poorly Characterized,chemostat_u0.5,0.5
0.15581692068033107,0.153719018308572,Cellular Processes and Signaling,fructose,0.65
0.3905825074588849,0.2924970607281315,Information Storage and Processing,fructose,0.65
0.3702022013999873,0.4986761606716756,Metabolism,fructose,0.65
0.021355280548812403,0.017760743053128164,Not Assigned,fructose,0.65
0.06204308991198438,0.037347017238492757,Poorly Characterized,fructose,0.65
0.16600889101244362,0.16073533586694777,Cellular Processes and Signaling,fumarate,0.42
0.32738989723413864,0.2465277314052263,Information Storage and Processing,fumarate,0.42
0.40750969501131684,0.5308618836708345,Metabolism,fumarate,0.42
0.02821719113663038,0.021949663664614375,Not Assigned,fumarate,0.42
0.07087432560547054,0.039925385392377014,Poorly Characterized,fumarate,0.42
0.1656538679690568,0.15422360053018003,Cellular Processes and Signaling,galactose,0.26
0.2841160146122247,0.21241859007488764,Information Storage and Processing,galactose,0.26
0.43686003757504765,0.5674956605916842,Metabolism,galactose,0.26
0.033721291513354214,0.022945851480553253,Not Assigned,galactose,0.26
0.07964878833031666,0.04291629732269471,Poorly Characterized,galactose,0.26
0.1808948709563573,0.1740994753332521,Cellular Processes and Signaling,glucosamine,0.46
0.3389522603818263,0.25357513844019786,Information Storage and Processing,glucosamine,0.46
0.38124477225656117,0.5102686141045003,Metabolism,glucosamine,0.46
0.029877383446279573,0.022623768091918253,Not Assigned,glucosamine,0.46
0.06903071295897564,0.039433004030131495,Poorly Characterized,glucosamine,0.46
0.16733759262248496,0.16887290344661993,Cellular Processes and Signaling,glucose,0.58
0.3978074007561699,0.30284530615541927,Information Storage and Processing,glucose,0.58
0.3489964468025784,0.47182596857675946,Metabolism,glucose,0.58
0.021644401840095407,0.017275759841384027,Not Assigned,glucose,0.58
0.06421415797867129,0.03918006197981737,Poorly Characterized,glucose,0.58
0.16806813444586763,0.1686103687568787,Cellular Processes and Signaling,glycerol,0.47
0.3555190758736584,0.26525899809935144,Information Storage and Processing,glycerol,0.47
0.37968235316988036,0.5053670647898246,Metabolism,glycerol,0.47
0.02516097259631896,0.019492181998809966,Not Assigned,glycerol,0.47
0.07156946391427467,0.0412713863551352,Poorly Characterized,glycerol,0.47
0.1661230981774385,0.1801721990801586,Cellular Processes and Signaling,glycerol_pAA,1.27
0.45381094245381604,0.3437311063381393,Information Storage and Processing,glycerol_pAA,1.27
0.3097699923838538,0.42175803002540185,Metabolism,glycerol_pAA,1.27
0.02169900281620291,0.020727661373818054,Not Assigned,glycerol_pAA,1.27
0.048596964168688785,0.033611003182482,Poorly Characterized,glycerol_pAA,1.27
0.15281666281471942,0.18425029859530018,Cellular Processes and Signaling,lb_miller,1.9
0.5519370487257506,0.43192654628748567,Information Storage and Processing,lb_miller,1.9
0.23560636680609393,0.332371260350386,Metabolism,lb_miller,1.9
0.019497944045688782,0.020887935043314057,Not Assigned,lb_miller,1.9
0.04014197760774726,0.030563959723514163,Poorly Characterized,lb_miller,1.9
0.16350912727099096,0.15734342097098492,Cellular Processes and Signaling,mannose,0.47
0.3314382544753554,0.24713430556822324,Information Storage and Processing,mannose,0.47
0.4107630618415778,0.5364938805898769,Metabolism,mannose,0.47
0.026032738025835524,0.020351602665563646,Not Assigned,mannose,0.47
0.0682568183862403,0.03867679020535119,Poorly Characterized,mannose,0.47
0.18853764891395797,0.19055032491978122,Cellular Processes and Signaling,osmotic_stress_glucose,0.55
0.34942330142069444,0.26527916466802504,Information Storage and Processing,osmotic_stress_glucose,0.55
0.3366798571229791,0.46687740676480094,Metabolism,osmotic_stress_glucose,0.55
0.03423262747899252,0.022423059577862222,Not Assigned,osmotic_stress_glucose,0.55
0.09112656506337599,0.0548700440695307,Poorly Characterized,osmotic_stress_glucose,0.55
0.18442503092290277,0.1913231668162141,Cellular Processes and Signaling,pH6,0.63
0.33886852077668994,0.257528999232352,Information Storage and Processing,pH6,0.63
0.33598681984200146,0.4661879930466915,Metabolism,pH6,0.63
