go_number,go_term,go_namespace,gene_name
GO:0008914,leucyltransferase activity,molecular_function,aat
GO:0005737,cytoplasm,cellular_component,aat
GO:0016755,"transferase activity, transferring amino-acyl groups",molecular_function,aat
GO:0016746,"transferase activity, transferring acyl groups",molecular_function,aat
GO:0016740,transferase activity,molecular_function,aat
GO:0030163,protein catabolic process,biological_process,aat
GO:0071713,para-aminobenzoyl-glutamate hydrolase activity,molecular_function,abgB
GO:0005737,cytoplasm,cellular_component,abgB
GO:0046657,folic acid catabolic process,biological_process,abgB
GO:0046982,protein heterodimerization activity,molecular_function,abgB
GO:0006508,proteolysis,biological_process,abgB
GO:0005515,protein binding,molecular_function,abgB
GO:0016787,hydrolase activity,molecular_function,abgB
GO:0016805,dipeptidase activity,molecular_function,abgB
GO:1902604,p-aminobenzoyl-glutamate transmembrane transport,biological_process,abgT
GO:0006865,amino acid transport,biological_process,abgT
GO:0015291,secondary active transmembrane transporter activity,molecular_function,abgT
GO:0015814,p-aminobenzoyl-glutamate transport,biological_process,abgT
GO:0015558,secondary active p-aminobenzoyl-glutamate transmembrane transporter activity,molecular_function,abgT
GO:0005886,plasma membrane,cellular_component,abgT
GO:0016021,integral component of membrane,cellular_component,abgT
GO:0016020,membrane,cellular_component,abgT
GO:0010468,regulation of gene expression,biological_process,abrB
GO:0005886,plasma membrane,cellular_component,abrB
GO:0016021,integral component of membrane,cellular_component,abrB
GO:0016020,membrane,cellular_component,abrB
GO:0006633,fatty acid biosynthetic process,biological_process,accA
GO:0042759,long-chain fatty acid biosynthetic process,biological_process,accA
GO:0005737,cytoplasm,cellular_component,accA
GO:0016743,carboxyl- or carbamoyltransferase activity,molecular_function,accA
GO:0016740,transferase activity,molecular_function,accA
GO:0042802,identical protein binding,molecular_function,accA
GO:0009317,acetyl-CoA carboxylase complex,cellular_component,accA
GO:0006631,fatty acid metabolic process,biological_process,accA
GO:0006629,lipid metabolic process,biological_process,accA
GO:2001295,malonyl-CoA biosynthetic process,biological_process,accA
GO:0005829,cytosol,cellular_component,accA
GO:0005524,ATP binding,molecular_function,accA
GO:0000166,nucleotide binding,molecular_function,accA
GO:0009329,acetate CoA-transferase complex,cellular_component,accA
GO:0016874,ligase activity,molecular_function,accA
GO:0005515,protein binding,molecular_function,accA
GO:0003989,acetyl-CoA carboxylase activity,molecular_function,accA
GO:0006633,fatty acid biosynthetic process,biological_process,accB
GO:0003989,acetyl-CoA carboxylase activity,molecular_function,accB
GO:0005737,cytoplasm,cellular_component,accB
GO:0009305,protein biotinylation,biological_process,accB
GO:0005829,cytosol,cellular_component,accB
GO:0005515,protein binding,molecular_function,accB
GO:0006631,fatty acid metabolic process,biological_process,accB
GO:0006629,lipid metabolic process,biological_process,accB
GO:0009317,acetyl-CoA carboxylase complex,cellular_component,accB
GO:0045717,negative regulation of fatty acid biosynthetic process,biological_process,accC
GO:0004075,biotin carboxylase activity,molecular_function,accC
GO:0006633,fatty acid biosynthetic process,biological_process,accC
GO:0005737,cytoplasm,cellular_component,accC
GO:0005515,protein binding,molecular_function,accC
GO:0016874,ligase activity,molecular_function,accC
GO:0006631,fatty acid metabolic process,biological_process,accC
