process_1,process_2,n_genes
Transcription,Transcription regulation,160
Transcription,Cell cycle,1
Transcription,Cell division,1
Transcription,Cell shape,0
Transcription,Peptidoglycan synthesis,0
Transcription,Cell wall biogenesis/degradation,0
Transcription,Antiviral defense,0
Transcription,Gluconate utilization,0
Transcription,Pentose shunt,0
Transcription,Electron transport,0
Transcription,Transport,2
Transcription,DNA replication,3
Transcription,Carbohydrate metabolism,4
Transcription,Amino-acid biosynthesis,4
Transcription,Threonine biosynthesis,0
Transcription,Phosphotransferase system,1
Transcription,Sugar transport,0
Transcription,Methionine biosynthesis,2
Transcription,DNA damage,1
Transcription,DNA repair,1
Transcription,Antibiotic resistance,5
Transcription,Lysine biosynthesis,0
Transcription,Carbon dioxide fixation,0
Transcription,Aromatic amino acid biosynthesis,0
Transcription,Branched-chain amino acid biosynthesis,0
Transcription,Tryptophan biosynthesis,0
Transcription,cAMP biosynthesis,0
Transcription,Xylose metabolism,0
Transcription,Protein biosynthesis,0
Transcription,Asparagine biosynthesis,0
Transcription,Arginine biosynthesis,1
Transcription,Pyrimidine biosynthesis,0
Transcription,Chemotaxis,0
Transcription,Bacteriocin transport,0
Transcription,Protein transport,0
Transcription,Ion transport,0
Transcription,Host-virus interaction,0
Transcription,SOS response,1
Transcription,Antiport,0
Transcription,Potassium transport,0
Transcription,Diaminopimelate biosynthesis,0
Transcription,GMP biosynthesis,0
Transcription,Purine biosynthesis,1
Transcription,Glutathione biosynthesis,0
Transcription,Amino-acid transport,0
Transcription,Lipopolysaccharide biosynthesis,0
Transcription,Isoleucine biosynthesis,0
Transcription,Folate biosynthesis,0
Transcription,Tricarboxylic acid cycle,0
Transcription,Stress response,12
Transcription,Pyridoxine biosynthesis,0
Transcription,Restriction system,0
Transcription,Iron transport,0
Transcription,tRNA processing,0
Transcription,Ribosome biogenesis,0
Transcription,Glycolysis,0
Transcription,RNA repair,0
Transcription,Nucleotide metabolism,0
Transcription,Porphyrin biosynthesis,0
Transcription,Histidine biosynthesis,0
Transcription,rRNA processing,0
Transcription,Proline biosynthesis,0
Transcription,Tyrosine biosynthesis,0
Transcription,Sodium transport,0
Transcription,Symport,0
Transcription,Two-component regulatory system,26
Transcription,Aromatic hydrocarbons catabolism,2
Transcription,Glycogen biosynthesis,0
Transcription,Glycogen metabolism,0
Transcription,One-carbon metabolism,0
Transcription,Glycerol metabolism,1
Transcription,Glyoxylate bypass,1
Transcription,Nitrate assimilation,2
Transcription,Translation regulation,5
Transcription,Galactose metabolism,0
Transcription,Leucine biosynthesis,0
Transcription,Polyamine biosynthesis,0
Transcription,Spermidine biosynthesis,0
Transcription,Glucose metabolism,0
Transcription,Proline metabolism,1
Transcription,Glutamate biosynthesis,0
Transcription,DNA excision,0
Transcription,Ubiquinone biosynthesis,0
Transcription,Fatty acid biosynthesis,0
Transcription,Fatty acid metabolism,1
Transcription,Lipid metabolism,1
Transcription,Lipid biosynthesis,0
Transcription,DNA recombination,3
Transcription,ATP synthesis,0
Transcription,Hydrogen ion transport,0
Transcription,Biotin biosynthesis,0
Transcription,Pyridine nucleotide biosynthesis,1
Transcription,Phospholipid biosynthesis,0
Transcription,Phospholipid metabolism,0
Transcription,Coenzyme A biosynthesis,0
Transcription,Septation,0
Transcription,Lipid A biosynthesis,0
Transcription,Gluconeogenesis,0
Transcription,Conjugation,2
Transcription,Nucleotide biosynthesis,0
Transcription,Molybdenum cofactor biosynthesis,0
Transcription,Transcription antitermination,4
Transcription,Pantothenate biosynthesis,0
Transcription,Queuosine biosynthesis,0
Transcription,Riboflavin biosynthesis,0
Transcription,Transcription termination,5
Transcription,mRNA processing,1
Transcription,Translocation,0
Transcription,Tryptophan catabolism,0
Transcription,Menaquinone biosynthesis,0
Transcription,Chromosome partition,0
Transcription,DNA integration,0
Transcription,Virulence,1
Transcription,Lipid degradation,0
Transcription,Cell adhesion,1
Transcription,Iron storage,0
Transcription,Cysteine biosynthesis,1
Transcription,Cobalamin biosynthesis,0
Transcription,Phenylalanine biosynthesis,0
Transcription,Phosphate transport,1
Transcription,Purine salvage,0
Transcription,Fucose metabolism,1
Transcription,Galactitol metabolism,0
Transcription,Serine biosynthesis,0
Transcription,Cytosine metabolism,0
Transcription,Peptide transport,0
Transcription,Arsenical resistance,0
Transcription,Plasmid copy control,1
Transcription,Respiratory chain,0
Transcription,Methotrexate resistance,0
Transcription,Trimethoprim resistance,0
Transcription,DNA condensation,0
Transcription,Flagellar rotation,0
Transcription,Quorum sensing,0
Transcription,Deoxyribonucleotide synthesis,0
Transcription,Detoxification,0
Transcription,Heme biosynthesis,0
Transcription,Isoprene biosynthesis,0
Transcription,Enterobactin biosynthesis,0
Transcription,Sulfate transport,0
Transcription,Bacterial flagellum biogenesis,1
Transcription,Bile acid catabolism,0
Transcription,Steroid metabolism,0
Transcription,Nickel transport,0
Transcription,Nitrogen fixation,1
Transcription,Thiamine biosynthesis,0
Transcription,Toxin-antitoxin system,6
Transcription,Transposition,0
Transcription,Lipid transport,0
Transcription,Hydrogen peroxide,0
Transcription,Capsule biogenesis/degradation,1
Transcription,Putrescine biosynthesis,0
Transcription,Maltose metabolism,0
Transcription,DNA synthesis,0
Transcription,Oxygen transport,0
Transcription,Arginine metabolism,1
Transcription,Tellurium resistance,0
Transcription,Ascorbate biosynthesis,0
Transcription,Fimbrium biogenesis,0
Transcription,Chromate resistance,0
Transcription,Zinc transport,0
Transcription,Cellulose biosynthesis,0
Transcription,Copper transport,0
Transcription,Autoinducer synthesis,0
Transcription,Bacterial flagellum protein export,0
Transcription,Exopolysaccharide synthesis,0
Transcription,Ammonia transport,0
Transcription,Virus entry into host cell,0
Transcription,Viral genome integration,0
Transcription,Purine metabolism,0
Transcription,PHB biosynthesis,0
Transcription,Polysaccharide degradation,0
Transcription,Xylan degradation,0
Transcription regulation,Cell cycle,1
Transcription regulation,Cell division,1
Transcription regulation,Cell shape,0
Transcription regulation,Peptidoglycan synthesis,0
Transcription regulation,Cell wall biogenesis/degradation,0
Transcription regulation,Antiviral defense,0
Transcription regulation,Gluconate utilization,0
Transcription regulation,Pentose shunt,0
Transcription regulation,Electron transport,0
Transcription regulation,Transport,2
Transcription regulation,DNA replication,2
Transcription regulation,Carbohydrate metabolism,4
Transcription regulation,Amino-acid biosynthesis,4
Transcription regulation,Threonine biosynthesis,0
Transcription regulation,Phosphotransferase system,1
Transcription regulation,Sugar transport,0
Transcription regulation,Methionine biosynthesis,2
Transcription regulation,DNA damage,1
Transcription regulation,DNA repair,1
Transcription regulation,Antibiotic resistance,3
Transcription regulation,Lysine biosynthesis,0
Transcription regulation,Carbon dioxide fixation,0
Transcription regulation,Aromatic amino acid biosynthesis,0
Transcription regulation,Branched-chain amino acid biosynthesis,0
Transcription regulation,Tryptophan biosynthesis,0
Transcription regulation,cAMP biosynthesis,0
Transcription regulation,Xylose metabolism,0
Transcription regulation,Protein biosynthesis,0
Transcription regulation,Asparagine biosynthesis,0
Transcription regulation,Arginine biosynthesis,1
Transcription regulation,Pyrimidine biosynthesis,0
Transcription regulation,Chemotaxis,0
Transcription regulation,Bacteriocin transport,0
Transcription regulation,Protein transport,0
Transcription regulation,Ion transport,0
Transcription regulation,Host-virus interaction,0
Transcription regulation,SOS response,1
Transcription regulation,Antiport,0
Transcription regulation,Potassium transport,0
Transcription regulation,Diaminopimelate biosynthesis,0
Transcription regulation,GMP biosynthesis,0
Transcription regulation,Purine biosynthesis,1
Transcription regulation,Glutathione biosynthesis,0
Transcription regulation,Amino-acid transport,0
Transcription regulation,Lipopolysaccharide biosynthesis,0
Transcription regulation,Isoleucine biosynthesis,0
Transcription regulation,Folate biosynthesis,0
Transcription regulation,Tricarboxylic acid cycle,0
Transcription regulation,Stress response,12
Transcription regulation,Pyridoxine biosynthesis,0
Transcription regulation,Restriction system,0
Transcription regulation,Iron transport,0
Transcription regulation,tRNA processing,0
Transcription regulation,Ribosome biogenesis,0
Transcription regulation,Glycolysis,0
Transcription regulation,RNA repair,0
Transcription regulation,Nucleotide metabolism,0
Transcription regulation,Porphyrin biosynthesis,0
Transcription regulation,Histidine biosynthesis,0
Transcription regulation,rRNA processing,0
Transcription regulation,Proline biosynthesis,0
Transcription regulation,Tyrosine biosynthesis,0
Transcription regulation,Sodium transport,0
Transcription regulation,Symport,0
Transcription regulation,Two-component regulatory system,26
Transcription regulation,Aromatic hydrocarbons catabolism,2
Transcription regulation,Glycogen biosynthesis,0
Transcription regulation,Glycogen metabolism,0
Transcription regulation,One-carbon metabolism,0
Transcription regulation,Glycerol metabolism,1
Transcription regulation,Glyoxylate bypass,1
Transcription regulation,Nitrate assimilation,2
Transcription regulation,Translation regulation,5
Transcription regulation,Galactose metabolism,0
Transcription regulation,Leucine biosynthesis,0
Transcription regulation,Polyamine biosynthesis,0
Transcription regulation,Spermidine biosynthesis,0
Transcription regulation,Glucose metabolism,0
Transcription regulation,Proline metabolism,1
Transcription regulation,Glutamate biosynthesis,0
Transcription regulation,DNA excision,0
Transcription regulation,Ubiquinone biosynthesis,0
Transcription regulation,Fatty acid biosynthesis,0
Transcription regulation,Fatty acid metabolism,1
Transcription regulation,Lipid metabolism,1
Transcription regulation,Lipid biosynthesis,0
Transcription regulation,DNA recombination,3
Transcription regulation,ATP synthesis,0
Transcription regulation,Hydrogen ion transport,0
Transcription regulation,Biotin biosynthesis,0
Transcription regulation,Pyridine nucleotide biosynthesis,1
Transcription regulation,Phospholipid biosynthesis,0
Transcription regulation,Phospholipid metabolism,0
Transcription regulation,Coenzyme A biosynthesis,0
Transcription regulation,Septation,0
Transcription regulation,Lipid A biosynthesis,0
Transcription regulation,Gluconeogenesis,0
Transcription regulation,Conjugation,2
Transcription regulation,Nucleotide biosynthesis,0
Transcription regulation,Molybdenum cofactor biosynthesis,0
Transcription regulation,Transcription antitermination,4
Transcription regulation,Pantothenate biosynthesis,0
Transcription regulation,Queuosine biosynthesis,0
Transcription regulation,Riboflavin biosynthesis,0
Transcription regulation,Transcription termination,5
Transcription regulation,mRNA processing,0
Transcription regulation,Translocation,0
Transcription regulation,Tryptophan catabolism,0
Transcription regulation,Menaquinone biosynthesis,0
Transcription regulation,Chromosome partition,0
Transcription regulation,DNA integration,0
Transcription regulation,Virulence,1
Transcription regulation,Lipid degradation,0
Transcription regulation,Cell adhesion,1
Transcription regulation,Iron storage,0
Transcription regulation,Cysteine biosynthesis,1
Transcription regulation,Cobalamin biosynthesis,0
Transcription regulation,Phenylalanine biosynthesis,0
Transcription regulation,Phosphate transport,1
Transcription regulation,Purine salvage,0
Transcription regulation,Fucose metabolism,1
Transcription regulation,Galactitol metabolism,0
Transcription regulation,Serine biosynthesis,0
Transcription regulation,Cytosine metabolism,0
Transcription regulation,Peptide transport,0
Transcription regulation,Arsenical resistance,0
Transcription regulation,Plasmid copy control,0
Transcription regulation,Respiratory chain,0
Transcription regulation,Methotrexate resistance,0
Transcription regulation,Trimethoprim resistance,0
Transcription regulation,DNA condensation,0
Transcription regulation,Flagellar rotation,0
Transcription regulation,Quorum sensing,0
Transcription regulation,Deoxyribonucleotide synthesis,0
Transcription regulation,Detoxification,0
Transcription regulation,Heme biosynthesis,0
Transcription regulation,Isoprene biosynthesis,0
Transcription regulation,Enterobactin biosynthesis,0
Transcription regulation,Sulfate transport,0
Transcription regulation,Bacterial flagellum biogenesis,1
Transcription regulation,Bile acid catabolism,0
Transcription regulation,Steroid metabolism,0
Transcription regulation,Nickel transport,0
Transcription regulation,Nitrogen fixation,1
Transcription regulation,Thiamine biosynthesis,0
Transcription regulation,Toxin-antitoxin system,6
Transcription regulation,Transposition,0
Transcription regulation,Lipid transport,0
Transcription regulation,Hydrogen peroxide,0
Transcription regulation,Capsule biogenesis/degradation,1
Transcription regulation,Putrescine biosynthesis,0
Transcription regulation,Maltose metabolism,0
Transcription regulation,DNA synthesis,0
Transcription regulation,Oxygen transport,0
Transcription regulation,Arginine metabolism,1
Transcription regulation,Tellurium resistance,0
Transcription regulation,Ascorbate biosynthesis,0
Transcription regulation,Fimbrium biogenesis,0
Transcription regulation,Chromate resistance,0
Transcription regulation,Zinc transport,0
Transcription regulation,Cellulose biosynthesis,0
Transcription regulation,Copper transport,0
Transcription regulation,Autoinducer synthesis,0
Transcription regulation,Bacterial flagellum protein export,0
Transcription regulation,Exopolysaccharide synthesis,0
Transcription regulation,Ammonia transport,0
Transcription regulation,Virus entry into host cell,0
Transcription regulation,Viral genome integration,0
Transcription regulation,Purine metabolism,0
Transcription regulation,PHB biosynthesis,0
Transcription regulation,Polysaccharide degradation,0
Transcription regulation,Xylan degradation,0
Cell cycle,Cell division,55
Cell cycle,Cell shape,12
Cell cycle,Peptidoglycan synthesis,12
Cell cycle,Cell wall biogenesis/degradation,12
Cell cycle,Antiviral defense,0
Cell cycle,Gluconate utilization,0
Cell cycle,Pentose shunt,0
Cell cycle,Electron transport,0
Cell cycle,Transport,0
Cell cycle,DNA replication,0
Cell cycle,Carbohydrate metabolism,0
Cell cycle,Amino-acid biosynthesis,0
Cell cycle,Threonine biosynthesis,0
Cell cycle,Phosphotransferase system,0
Cell cycle,Sugar transport,0
Cell cycle,Methionine biosynthesis,0
Cell cycle,DNA damage,0
Cell cycle,DNA repair,0
Cell cycle,Antibiotic resistance,1
Cell cycle,Lysine biosynthesis,0
Cell cycle,Carbon dioxide fixation,0
Cell cycle,Aromatic amino acid biosynthesis,0
Cell cycle,Branched-chain amino acid biosynthesis,0
Cell cycle,Tryptophan biosynthesis,0
Cell cycle,cAMP biosynthesis,0
Cell cycle,Xylose metabolism,0
Cell cycle,Protein biosynthesis,0
Cell cycle,Asparagine biosynthesis,0
Cell cycle,Arginine biosynthesis,0
Cell cycle,Pyrimidine biosynthesis,0
Cell cycle,Chemotaxis,0
Cell cycle,Bacteriocin transport,0
Cell cycle,Protein transport,0
Cell cycle,Ion transport,0
Cell cycle,Host-virus interaction,0
Cell cycle,SOS response,0
Cell cycle,Antiport,0
Cell cycle,Potassium transport,0
Cell cycle,Diaminopimelate biosynthesis,0
Cell cycle,GMP biosynthesis,0
Cell cycle,Purine biosynthesis,0
Cell cycle,Glutathione biosynthesis,0
Cell cycle,Amino-acid transport,0
Cell cycle,Lipopolysaccharide biosynthesis,0
Cell cycle,Isoleucine biosynthesis,0
Cell cycle,Folate biosynthesis,0
Cell cycle,Tricarboxylic acid cycle,0
Cell cycle,Stress response,0
Cell cycle,Pyridoxine biosynthesis,0
Cell cycle,Restriction system,0
Cell cycle,Iron transport,0
Cell cycle,tRNA processing,0
Cell cycle,Ribosome biogenesis,0
Cell cycle,Glycolysis,0
Cell cycle,RNA repair,0
Cell cycle,Nucleotide metabolism,0
Cell cycle,Porphyrin biosynthesis,0
Cell cycle,Histidine biosynthesis,0
Cell cycle,rRNA processing,0
Cell cycle,Proline biosynthesis,0
Cell cycle,Tyrosine biosynthesis,0
Cell cycle,Sodium transport,0
Cell cycle,Symport,0
Cell cycle,Two-component regulatory system,0
Cell cycle,Aromatic hydrocarbons catabolism,0
Cell cycle,Glycogen biosynthesis,0
Cell cycle,Glycogen metabolism,0
Cell cycle,One-carbon metabolism,0
Cell cycle,Glycerol metabolism,0
Cell cycle,Glyoxylate bypass,0
Cell cycle,Nitrate assimilation,0
Cell cycle,Translation regulation,0
Cell cycle,Galactose metabolism,0
Cell cycle,Leucine biosynthesis,0
Cell cycle,Polyamine biosynthesis,0
Cell cycle,Spermidine biosynthesis,0
Cell cycle,Glucose metabolism,0
Cell cycle,Proline metabolism,0
Cell cycle,Glutamate biosynthesis,0
Cell cycle,DNA excision,0
Cell cycle,Ubiquinone biosynthesis,0
Cell cycle,Fatty acid biosynthesis,0
Cell cycle,Fatty acid metabolism,0
Cell cycle,Lipid metabolism,0
Cell cycle,Lipid biosynthesis,0
Cell cycle,DNA recombination,2
Cell cycle,ATP synthesis,0
Cell cycle,Hydrogen ion transport,0
Cell cycle,Biotin biosynthesis,0
Cell cycle,Pyridine nucleotide biosynthesis,0
Cell cycle,Phospholipid biosynthesis,0
Cell cycle,Phospholipid metabolism,0
Cell cycle,Coenzyme A biosynthesis,0
Cell cycle,Septation,10
Cell cycle,Lipid A biosynthesis,0
Cell cycle,Gluconeogenesis,0
Cell cycle,Conjugation,0
Cell cycle,Nucleotide biosynthesis,0
Cell cycle,Molybdenum cofactor biosynthesis,0
Cell cycle,Transcription antitermination,0
Cell cycle,Pantothenate biosynthesis,0
Cell cycle,Queuosine biosynthesis,0
Cell cycle,Riboflavin biosynthesis,0
Cell cycle,Transcription termination,0
Cell cycle,mRNA processing,0
Cell cycle,Translocation,0
Cell cycle,Tryptophan catabolism,0
Cell cycle,Menaquinone biosynthesis,0
Cell cycle,Chromosome partition,6
Cell cycle,DNA integration,2
Cell cycle,Virulence,0
Cell cycle,Lipid degradation,0
Cell cycle,Cell adhesion,0
Cell cycle,Iron storage,0
Cell cycle,Cysteine biosynthesis,0
Cell cycle,Cobalamin biosynthesis,0
Cell cycle,Phenylalanine biosynthesis,0
Cell cycle,Phosphate transport,0
Cell cycle,Purine salvage,0
Cell cycle,Fucose metabolism,0
Cell cycle,Galactitol metabolism,0
Cell cycle,Serine biosynthesis,0
Cell cycle,Cytosine metabolism,0
Cell cycle,Peptide transport,0
Cell cycle,Arsenical resistance,0
Cell cycle,Plasmid copy control,0
Cell cycle,Respiratory chain,0
Cell cycle,Methotrexate resistance,0
Cell cycle,Trimethoprim resistance,0
Cell cycle,DNA condensation,3
Cell cycle,Flagellar rotation,0
Cell cycle,Quorum sensing,0
Cell cycle,Deoxyribonucleotide synthesis,0
Cell cycle,Detoxification,0
Cell cycle,Heme biosynthesis,0
Cell cycle,Isoprene biosynthesis,0
