,complex,gene,object_id
0,aromatic carboxylic acid efflux pump,aaeA,CPLX0-4
1,aromatic carboxylic acid efflux pump,aaeB,CPLX0-4
2,{\it p}-aminobenzoyl-glutamate hydrolase,abgB,CPLX0-7844
3,{\it p}-aminobenzoyl-glutamate hydrolase,abgA,CPLX0-7844
4,"acetyl-CoA carboxyltransferase subunit $\alpha$ // ""acetyl-CoA carboxyltransferase subunit $\beta$""",accA,ACETYL-COA-CARBOXYLTRANSFER-CPLX
5,"acetyl-CoA carboxyltransferase subunit $\alpha$ // ""acetyl-CoA carboxyltransferase subunit $\beta$""",accD,ACETYL-COA-CARBOXYLTRANSFER-CPLX
6,biotin carboxyl carrier protein (dimer),accB,BCCP-CPLX
7,biotin carboxylase,accC,BIOTIN-CARBOXYL-CPLX
8,acetyl-CoA carboxylase complex,accD,ACETYL-COA-CARBOXYLMULTI-CPLX
9,acetyl-CoA carboxylase complex,accA,ACETYL-COA-CARBOXYLMULTI-CPLX
10,acetyl-CoA carboxylase complex,accC,ACETYL-COA-CARBOXYLMULTI-CPLX
11,acetyl-CoA carboxylase complex,accB,ACETYL-COA-CARBOXYLMULTI-CPLX
12,isocitrate lyase,aceA,ISOCIT-LYASE
13,pyruvate dehydrogenase,aceE,E1P-CPLX
14,"pyruvate dehydrogenase // ""pyruvate dehydrogenase, E2 subunit"" // ""lipoamide dehydrogenase""",aceE,PYRUVATEDEH-CPLX
15,"pyruvate dehydrogenase // ""pyruvate dehydrogenase, E2 subunit"" // ""lipoamide dehydrogenase""",aceF,PYRUVATEDEH-CPLX
16,"pyruvate dehydrogenase // ""pyruvate dehydrogenase, E2 subunit"" // ""lipoamide dehydrogenase""",lpd,PYRUVATEDEH-CPLX
17,isocitrate dehydrogenase kinase/phosphatase,aceK,CPLX0-230
18,aconitate hydratase A,acnA,CPLX0-7760
19,holo-[acyl-carrier-protein] synthase,acpS,HOLO-ACP-SYNTH-CPLX
20,acetate/glycolate:cation symporter,actP,CPLX0-7955
21,adenine deaminase,adeD,CPLX0-1683
22,alcohol dehydrogenase/aldehyde-dehydrogenase,adhE,ADHE-CPLX
