accession_number,category,go_mapping,hierarchy,id
KW-0001,Ligand,"GO:0051537; 2 iron, 2 sulfur cluster binding", Metal-binding; 2Fe-2S,2Fe-2S
KW-0002,Technical term,, 3D-structure,3D-structure
KW-0003,Ligand,"GO:0051538; 3 iron, 4 sulfur cluster binding", Metal-binding; 3Fe-4S,3Fe-4S
KW-0004,Ligand,"GO:0051539; 4 iron, 4 sulfur cluster binding", Metal-binding; 4Fe-4S,4Fe-4S
KW-0937,Biological process,GO:0009688; abscisic acid biosynthetic process, Abscisic acid biosynthesis,Abscisic acid biosynthesis
KW-0938,Biological process,GO:0009738; abscisic acid-activated signaling pathway, Abscisic acid signaling pathway,Abscisic acid signaling pathway
KW-0005,Biological process,GO:0045151; acetoin biosynthetic process, Acetoin biosynthesis,Acetoin biosynthesis
KW-0006,Biological process,GO:0045150; acetoin catabolic process, Acetoin catabolism,Acetoin catabolism
KW-0007,PTM,, Acetylation,Acetylation
KW-0008,Molecular function,GO:0030550; acetylcholine receptor inhibitor activity, Toxin; Neurotoxin; Postsynaptic neurotoxin; Acetylcholine receptor inhibiting toxin,Acetylcholine receptor inhibiting toxin
KW-0117,Molecular function,GO:0051693; actin filament capping, Actin capping,Actin capping
KW-0009,Molecular function,GO:0003779; actin binding, Actin-binding,Actin-binding
KW-1178,Biological process,GO:0039680; actin-dependent intracellular transport of virus towards nucleus, Virus entry into host cell; Cytoplasmic inwards viral transport; Actin-dependent inwards viral transport,Actin-dependent inwards viral transport
KW-1072,Biological process,GO:0039520; induction by virus of host autophagy, Host-virus interaction; Activation of host autophagy by virus,Activation of host autophagy by virus
KW-1073,Biological process,GO:0039651; induction by virus of host cysteine-type endopeptidase activity involved in apoptotic process, Host-virus interaction; Modulation of host cell apoptosis by virus; Activation of host caspases by virus,Activation of host caspases by virus
KW-1074,Biological process,GO:0039652; activation by virus of host NF-kappaB transcription factor activity, Host-virus interaction; Activation of host NF-kappa-B by virus,Activation of host NF-kappa-B by virus
KW-0010,Molecular function,, Activator,Activator
KW-0011,Biological process,GO:0006953; acute-phase response, Acute phase,Acute phase
KW-0012,Molecular function,"GO:0016746; transferase activity, transferring acyl groups", Transferase; Acyltransferase,Acyltransferase
KW-1064,Biological process,GO:0002250; adaptive immune response, Immunity; Adaptive immunity,Adaptive immunity
KW-0013,PTM,, ADP-ribosylation,ADP-ribosylation
KW-0913,Disease,, Age-related macular degeneration,Age-related macular degeneration
KW-0948,Disease,, Aicardi-Goutieres syndrome,Aicardi-Goutieres syndrome
KW-0014,Disease,, AIDS,AIDS
KW-0015,Disease,, Albinism,Albinism
KW-0016,Biological process,GO:0042121; alginic acid biosynthetic process, Alginate biosynthesis,Alginate biosynthesis
KW-0017,Biological process,GO:0009820; alkaloid metabolic process, Alkaloid metabolism,Alkaloid metabolism
KW-0019,Biological process,GO:0015716; organic phosphonate transport, Alkylphosphonate uptake,Alkylphosphonate uptake
KW-0020,Disease,, Allergen,Allergen
KW-0021,Molecular function,GO:0008152; metabolic process, Allosteric enzyme,Allosteric enzyme
KW-0022,Molecular function,GO:0015066; alpha-amylase inhibitor activity, Alpha-amylase inhibitor,Alpha-amylase inhibitor
KW-0023,Disease,, Alport syndrome,Alport syndrome
KW-0024,Coding sequence diversity,, Alternative initiation,Alternative initiation
KW-0877,Coding sequence diversity,, Alternative promoter usage,Alternative promoter usage
KW-0025,Coding sequence diversity,, Alternative splicing,Alternative splicing
