aggregation_method,category,concentration_uM,condition,dataset,dataset_name,growth_rate_hr,n_complex,name,rate,rate_units,shorthand,volume
sum total,synthesis,0.10299554684864912,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,246.23495569965831,DNA polymerase III (holo enzyme),600.0,bp/s,dnap,3.97
sum total,synthesis,8.826008712185578,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,21100.639112518274,RNA polymerase (core enzyme),40.0,nt/s,rnap,3.97
sum total,synthesis,0.8994560828704375,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,2150.360238825173,Ribonucleoside-diphosphate reductase (I),10.0,dNTP/s,dntp,3.97
sum total,synthesis,5.435863297142782,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,12995.703203831352,σ-70 (RpoD),40.0,nt/s,sigma70,3.97
sum total,synthesis,8.558642246064503,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,20461.437011502778,all σ-factors,40.0,nt/s,all_sigma,3.97
sum total,synthesis,34.48202133400516,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,82437.3407919315,tRNA ligases,20.0,AA/s,trna,3.97
average,transport,1.3521595975476572,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,3232.6539232835007,Carbohydrate Transporters (average),200.0,carbs/s,carbon_tport,3.97
sum total,transport,27.043191950953137,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,64653.078465670005,Carbohydrate Transporters (total),200.0,carbs/s,carbon_tport_tot,3.97
sum total,transport,10.106567498199901,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,24162.11454124144,Glucose/Mannose Transporters,200.0,gluc/sec,glucose_tport,3.97
sum total,transport,0.0034523646988373997,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,8.253685665910334,Glycerol Transporters,0.0,glyc/sec,glycerol_tport,3.97
sum total,transport,0.05815316537152777,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,139.02874966133407,Galactose Transporter (MglABC),10.0,gal/s,galactose_tport,3.97
sum total,transport,0.2812526441319535,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,672.4002589161618,Glucosamine Transporter NagE,200.0,glcn/s,glucosamine_tport,3.97
sum total,transport,0.13222556796547244,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,316.11616100436584,Fructose Transporter FruBA,200.0,frc/s,fructose_tport,3.97
average,transport,0.009666621156744723,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,23.11031986454894,Sulfate Transporter (CysUWA),10.0,SO4/s,sulfur_tport,3.97
sum total,transport,0.8430674594560932,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,2015.5500396153038,Phosphate Transport System,0.01,Pi/s,phosphate_tport,3.97
sum total,synthesis,62.821280647784484,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,150188.9715682004,Ribosome (50S + 30S),15.0,AA/s,ribosome,3.97
sum total,synthesis,133.27830904097127,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,318632.9848867574,Elongation Factor EF-Tu,20.0,peptide bonds/s,eftu,3.97
sum total,energy production,4.777606673956619,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,11421.986714055005,F1-F0 ATP Synthase,300.0,atp/s,atp_synthase,3.97
sum total,energy production,9.400726068915429,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,22474.635437642464,respiratory complex,5000.0,protons/s,proton_gradient,3.97
sum total,synthesis,6.730960374499984,MOPS complete,li_2014,Li et al. 2014,1.934364224818452,16091.935819969849,Fatty Acid Synthetases (FabA + FabZ),1.0,lipid/s,fas,3.97
sum total,synthesis,0.07939613159936453,MOPS complete without methionine,li_2014,Li et al. 2014,1.5693898427772346,130.0495932216535,DNA polymerase III (holo enzyme),600.0,bp/s,dnap,2.72
sum total,synthesis,8.341998883215043,MOPS complete without methionine,li_2014,Li et al. 2014,1.5693898427772346,13664.06069872411,RNA polymerase (core enzyme),40.0,nt/s,rnap,2.72
sum total,synthesis,0.7111354954888718,MOPS complete without methionine,li_2014,Li et al. 2014,1.5693898427772346,1164.8285634428446,Ribonucleoside-diphosphate reductase (I),10.0,dNTP/s,dntp,2.72
sum total,synthesis,3.948761822194901,MOPS complete without methionine,li_2014,Li et al. 2014,1.5693898427772346,6468.0086845660935,σ-70 (RpoD),40.0,nt/s,sigma70,2.72
sum total,synthesis,7.640693607173874,MOPS complete without methionine,li_2014,Li et al. 2014,1.5693898427772346,12515.333877453093,all σ-factors,40.0,nt/s,all_sigma,2.72
sum total,synthesis,30.396496177856775,MOPS complete without methionine,li_2014,Li et al. 2014,1.5693898427772346,49788.97439539056,tRNA ligases,20.0,AA/s,trna,2.72
average,transport,1.678484413473724,MOPS complete without methionine,li_2014,Li et al. 2014,1.5693898427772346,2749.3306135193448,Carbohydrate Transporters (average),200.0,carbs/s,carbon_tport,2.72
sum total,transport,18.463328548210967,MOPS complete without methionine,li_2014,Li et al. 2014,1.5693898427772346,30242.636748712797,Carbohydrate Transporters (total),200.0,carbs/s,carbon_tport_tot,2.72
sum total,transport,5.363877906612608,MOPS complete without methionine,li_2014,Li et al. 2014,1.5693898427772346,8785.946188984948,Glucose/Mannose Transporters,200.0,gluc/sec,glucose_tport,2.72
sum total,transport,0.06122111352240158,MOPS complete without methionine,li_2014,Li et al. 2014,1.5693898427772346,100.27920441187744,Galactose Transporter (MglABC),10.0,gal/s,galactose_tport,2.72
sum total,transport,0.13140141438954483,MOPS complete without methionine,li_2014,Li et al. 2014,1.5693898427772346,215.23341434744427,Glucosamine Transporter NagE,200.0,glcn/s,glucosamine_tport,2.72
sum total,transport,0.1254286228263837,MOPS complete without methionine,li_2014,Li et al. 2014,1.5693898427772346,205.4500773316513,Fructose Transporter FruBA,200.0,frc/s,fructose_tport,2.72
average,transport,11.799856344667942,MOPS complete without methionine,li_2014,Li et al. 2014,1.5693898427772346,19327.97589486458,Sulfate Transporter (CysUWA),10.0,SO4/s,sulfur_tport,2.72
sum total,transport,0.5315784491213403,MOPS complete without methionine,li_2014,Li et al. 2014,1.5693898427772346,870.7169944055697,Phosphate Transport System,0.01,Pi/s,phosphate_tport,2.72
sum total,synthesis,48.95996445201569,MOPS complete without methionine,li_2014,Li et al. 2014,1.5693898427772346,80195.63841297048,Ribosome (50S + 30S),15.0,AA/s,ribosome,2.72
sum total,synthesis,126.66125768523106,MOPS complete without methionine,li_2014,Li et al. 2014,1.5693898427772346,207469.11350828558,Elongation Factor EF-Tu,20.0,peptide bonds/s,eftu,2.72
sum total,energy production,3.7931146070536497,MOPS complete without methionine,li_2014,Li et al. 2014,1.5693898427772346,6213.061036520166,F1-F0 ATP Synthase,300.0,atp/s,atp_synthase,2.72
sum total,energy production,8.166111460163613,MOPS complete without methionine,li_2014,Li et al. 2014,1.5693898427772346,13375.959913964638,respiratory complex,5000.0,protons/s,proton_gradient,2.72
sum total,synthesis,6.03973660193156,MOPS complete without methionine,li_2014,Li et al. 2014,1.5693898427772346,9892.991918178266,Fatty Acid Synthetases (FabA + FabZ),1.0,lipid/s,fas,2.72
sum total,synthesis,0.17755848242330538,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,122.96457583261167,DNA polymerase III (holo enzyme),600.0,bp/s,dnap,1.15
sum total,synthesis,6.591399397791085,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,4564.741824952261,RNA polymerase (core enzyme),40.0,nt/s,rnap,1.15
sum total,synthesis,0.5031109813317096,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,348.4194479016489,Ribonucleoside-diphosphate reductase (I),10.0,dNTP/s,dntp,1.15
sum total,synthesis,3.7644733214140045,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,2607.0107092788407,σ-70 (RpoD),40.0,nt/s,sigma70,1.15
sum total,synthesis,23.491698007930736,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,16268.705621432273,all σ-factors,40.0,nt/s,all_sigma,1.15
sum total,synthesis,26.786553988866867,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,18550.492233909972,tRNA ligases,20.0,AA/s,trna,1.15
average,transport,2.657072317224323,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,1840.1022918473602,Carbohydrate Transporters (average),200.0,carbs/s,carbon_tport,1.15
sum total,transport,55.79851866171078,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,38642.148128794564,Carbohydrate Transporters (total),200.0,carbs/s,carbon_tport_tot,1.15
sum total,transport,15.331493360679977,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,10617.519097071705,Glucose/Mannose Transporters,200.0,gluc/sec,glucose_tport,1.15
sum total,transport,0.003296386446071807,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,2.282846505498109,Glycerol Transporters,0.0,glyc/sec,glycerol_tport,1.15
sum total,transport,0.307388036096196,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,212.87543663769864,Galactose Transporter (MglABC),10.0,gal/s,galactose_tport,1.15
sum total,transport,0.009889159338215424,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,6.848539516494327,Xylose Transporters,200.0,xyl/sec,xylose_tport,1.15
sum total,transport,0.1755325782533237,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,121.56157641777428,Glucosamine Transporter NagE,200.0,glcn/s,glucosamine_tport,1.15
sum total,transport,0.22539042325015987,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,156.08962981343322,Fructose Transporter FruBA,200.0,frc/s,fructose_tport,1.15
sum total,transport,0.07252050181357977,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,50.222623120958396,Ammonium Transporter (AmtB),300.0,NH4+/s,nitrogen_tport,1.15
average,transport,1.5326136732705113,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,1061.3809471500272,Sulfate Transporter (CysUWA),10.0,SO4/s,sulfur_tport,1.15
sum total,transport,0.6955375401211514,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,481.680612660101,Phosphate Transport System,0.01,Pi/s,phosphate_tport,1.15
sum total,synthesis,36.75817757125642,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,25456.140713422206,Ribosome (50S + 30S),15.0,AA/s,ribosome,1.15
sum total,synthesis,96.07565526059739,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,66535.27353762151,Elongation Factor EF-Tu,20.0,peptide bonds/s,eftu,1.15
sum total,energy production,4.8304216859971865,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,3345.2119302036317,F1-F0 ATP Synthase,300.0,atp/s,atp_synthase,1.15
sum total,energy production,8.03552725135332,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,5564.8436873797145,respiratory complex,5000.0,protons/s,proton_gradient,1.15
sum total,synthesis,4.47072411748489,MOPS minimal,li_2014,Li et al. 2014,0.738700370046123,3096.110573081811,Fatty Acid Synthetases (FabA + FabZ),1.0,lipid/s,fas,1.15
