Protein IDs,Gene Names,CN (TP3) Rep2TP3
P24173,b3621;JW3596;rfa-2;rfaC;waaC;yibC,35.68203713
P31135,b0856;JW0840;potH,73.3217167
P31473,b3746;JW3725;ravA;yieN,59.31536782
P08956,b4350;hsdR;hsr;JW4313,72.2758977
P0A830,b3528;dctA;JW3496,85.27673518
P64602,b3191;JW5535;mlaB;yrbB,51.31812062
P24188,b1055;JW1042;yceA,126.8164481
P33916,b2180;JW2168;yejF,37.52638251
P0AEI1,b0661;JW0658;miaB;yleA,264.2327076
P46883,b1386;JW1381;maoA;tynA,49.71017391
B1XA99;C4ZVV9;P76535,ECDH10B_2593;murQ;b2428;JW2421;yfeU,75.67916704
P0AGE4,b3089;JW3060;sstT;ygjU,13.11086636
P0AD70,ampH;b0376;JW5052;yaiH,33.55989606
P76419,b2100;JW2087;yegV,73.30646517
P06720,b4119;JW4080;mel-7;melA,58.98637059
P46122,b0412;JW5056;yajI,50.37579413
P52101,b2556;JW5407;yfhK,28.32644347
P10907,b3450;JW3415;ugpC,69.50992431
P77504,b0496;JW0485;ybbP,15.33541053
P26365,amiB;b4169;JW4127;yjeD,58.23250939
P65870,b2765;JW2735;queD;ygcM,51.53817837
P04983,b3749;JW3728;rbsA,71.22136353
P75783,b0808;JW5108;ybiO,31.82340076
P33913,b2177;JW2165;yejA,43.10844145
P06846,b3075;ebgR;JW3046,62.24039284
P04993,b2819;JW2787;recD,36.64724091
P13669,b0730;farR;g30;JW0719;mngR;ybgB,35.14060791
P00944,b3565;JW3537;xylA,45.02141871
P14375,b4004;hydG;JW3968;zraR,36.81173953
P36999,b1822;JW1811;rlmA;rrmA;yebH,117.9269866
P09155,b1804;JW1793;rnd,50.49671695
P27128,b3627;JW3602;rfaI;waaI,72.1495279
P56258,b4481;JW5596;rffT;wecF;yifM,29.54438685
P42596,b3084;JW5513;rlmG;ygjO,117.3060316
P0A7B8,b3932;hslV;htpO;JW3903;yiiC,45.37002504
P0ABS5,b3066;dnaG;dnaP;JW3038;parB,30.07056454
P76406,b2085;JW5837;yegR,54.61462927
P0AGG4,b2582;JW2566;trxC;yfiG,105.3564601
P0CK95,,84.03700391
P0A9H5,b1270;btuR;cobA;JW1262,67.84315027
P45524,b3353;JW3316;yheT,102.1438348
P76342,b1971;JW1954;yedY,49.76464365
P0A9G2,antO;b0020;JW0019;nhaR,58.99835393
P77615,b1320;JW1313;ycjW,67.70261835
P36673,b4241;JW4200;treR,42.09639368
P27127,b3628;JW3603;rfaB;waaB,81.71877178
Q47689,b0260;JW5027;mmuP;ykfD,75.77830196
P0A6L4,b3225;JW3194;nanA;npl,105.5166011
P75821,b0868;JW5819;ybjS,51.22661146
P0AFP4,b0493;JW0482;ybbO,27.35797149
P42632,b3114;JW5522;tdcE;yhaS,33.74400379
P0AFT5,b2125;JW5352;yehT,45.55631155
P39187,b4216;JW4175;ytfJ,142.1333389
P13024,b3891;fdhE;JW3862,217.1817464
P0ACS7,alsR;b4089;JW4050;rpiR;yjcY,50.05115448
P32166,b3930;JW3901;menA;yiiW,136.0327281
P0AC96,b4476;gntU;JW5686,10.9462389
P0A9F6,b2808;gcvA;JW2779,71.41418641
P31545,b1019;JW1004;ycdB,197.3220793
P76237,b1786;JW5291;yeaJ,37.73445692
P27862,b3848;JW5577;yigZ,60.11171541
P09394,b2239;glpQ;JW2233,51.24077359
P76561,b2473;JW5396;ypfH,102.4804578
P69451,b1805;fadD;JW1794;oldD,117.2624558
P23873,b1508;hipB;JW1501,56.65397633
P77562,b0378;JW0369;yaiW,55.14952212
P76503,b2342;fadI;JW2339;yfcY,53.62654819
P60716,b0628;JW0623;lip;lipA,215.6456997
P0A9U6,b1299;JW1292;puuR;ycjC,224.5678431
P28306,b1097;JW1083;yceG,81.61310049
P23331,b1238;JW1226;tdk,62.24039284
P64448,b1382;JW1377;ynbE,87.88147814
P0AD68,b0084;ftsI;JW0082;pbpB,184.8594028
P46474,b4472;JW5542;yhdP;yhdQ;yhdR,69.70928356
P45800,b3398;JW3361;yrfF,77.86122481
P0AAH4,b1291;JW1284;sapD,108.2836639
P31825,b2575;JW2559;yfiC,134.4857875
P0A7E3,b3642;JW3617;pyrE,130.193572
P0AG38,b3823;JW5586;rhtC;yigJ,50.1099818
P50456,b1594;JW1586;mlc,64.2372535
P0ADN6,b4558;JW3781;yifL,138.0045327
P0ACM5,b2101;JW2088;yegW,92.9558791
Q2EEQ2,b4506;JW5034;rpmJ2;ykgO,22.88382707
P76108,b1440;JW1435;ydcS,121.9795352
P0ADV9,b3199;JW3166;lptC;yrbK,116.80491
P67553,b1585;JW5258;ynfC,95.87545715
P0A853,b3708;ind;JW3686;tnaA,111.3688299
P23837,b1129;JW1115;phoQ,78.57368901
P0AEC5,b2786;barA;JW2757,71.17451956
P25742,b3632;JW3607;rfaQ;waaQ,121.0971254
P0A9G4,b0487;cueR;JW0476;ybbI,84.02502056
P75682,b0268;JW0261;yagE,183.0074317
P32125,b3856;JW5575;mobB;yihC,62.73497808
P21865,b0695;JW0683;kdpD,48.34951981
P76049,b1327;JW5804;ycjY,83.33216547
P0A9W0,b4191;JW4149;ulaR;yjfQ,54.12440162
P0ACP1,b0080;cra;fruC;fruR;JW0078;shl,136.9369258
P07649,asuC;b2318;hisT;JW2315;leuK;truA,74.98849074
Q46798,b2865;JW2833;ygeR,93.83066312
P09980,b3778;JW5604;rep,78.22181449
P43329,b1413;hrpA;JW5905,100.3016682
P76507,b2352;JW5382;yfdI,173.4970151
P27242,b3623;JW3598;rfaK;waaK;waaU,157.4938056
P0AF59,b4126;JW4087;yjdI,130.7055875
P76361,b2001;JW1983;yeeR,171.1548163
P76270,b1832;JW1821;yebR,17.17213016
P00811,ampA;ampC;b4150;JW4111,89.15062308
P46118,b1853;hexR;JW1842;yebK,202.6927956
P67762,b3154;JW3123;yhbP,43.67928432
P75831,b0879;JW0863;macB;ybjZ,90.31954369
P32131,b3867;hemN;JW3838;yihJ,152.3191803
P08660,apk;b4024;JW3984;lysC,171.3182255
P39385,b4336;JW4299;yjiN,57.66711349
P0A8N7,b4155;genX;JW4116;poxA;yjeA,41.22814603
P04949,b1923;flaF;fliC;hag;JW1908,409.3400943
P0AD40,b4546;JW5877;ypeB,119.9750488
P0AEB5,b1330;JW1323;ynaI,108.2651442
P40710,b0192;cutF;JW0188;nlpE,13.5640546
P37649,b3529;JW5943;yhjK,67.94991096
P39401,b4359;JW5794;mdoB;opgB;yjjO,170.9805131
P0AAD6,b2796;dcrA;JW2767;sdaC,212.1269545
P0C079,b1564;JW1556;relB,38.39027259
P39325,b4227;JW4186;ytfQ,142.3621119
P02918,b3396;JW3359;mrcA;ponA,171.2419679
P0A935,b2813;JW2784;mlt;mltA;ygdM,193.7597583
P0ACU0,b0796;JW0780;ybiH,112.7523613
P0AAC4,b0786;JW0769;ybhL,160.0538833
P77580,b0351;JW0342;mhpE;mhpF,78.88089834
P0AFI5,b2134;JW5355;pbpG;yohB,167.7341166
P76073;P76154,b1375;JW1369;ynaE;b1544;JW1537;ydfK,152.1121953
P75931,b1068;JW1055;mviM;yceM,34.17431473
P0AB58,b1280;JW1272;yciM,87.46532933
P75820,amiD;b0867;JW0851;ybjR,41.63557968
P0AAT4,b0577;JW0566;ybdG,30.10651456
Q46864,b3021;JW2989;ygiT,54.84993855
P28305,b1096;JW1082;pabC,97.44854323
P64493,b1793;JW1782;yoaF,146.512706
P0A823,b0146;JW0142;sfs1;sfsA,91.24335048
P0AEN4,b0083;ftsL;JW0081;mraR;yabD,121.7398684
P0AED9,b1961;dcm;JW1944;mec,115.127242
P16525,b1610;JW1602;tau;tus,136.2179252
P75829,b0877;JW0861;ybjX,225.853329
P0AF43,b4020;JW3980;yjbB,121.2496407
P0ACL9,aceC;b0113;genA;JW0109;pdhR;yacB,176.7325176
P29013,b1188;JW1177;ycgB,209.6758163
P41409,b0651;JW0646;rihA;ybeK,217.0183372
P0A6A0,aarF;b3835;JW3812;ubiB;yigQ;yigR;yigS,147.8526616
P39353,b4280;JW5769;yjhC,274.3422913
P76115,b1451;JW1446;yncD,135.6950157
P25536,b3248;JW3217;yhdE,163.6597801
P0AA91,b1806;JW1795;yeaY,167.7232227
P14376,b2218;JW5917/JW5920;rcsC,114.6914841
P67701,b3082;JW3053;ygjM,129.0061317
P60869,b0847;JW0831;ybjL,78.03988556
P37624,b3486;JW5676;yhiG;yhiH,126.6639329
P39408,b4378;JW4341;yjjV,106.0591197
P15078,b0598;cstA;JW0590;ybdC,185.6873429
P0AG24,b3650;JW3625;spoT,168.8126175
P0A978,b0990;cspG;cspI;JW0974,133.4290745
P27247,b1090;JW5156;plsX,98.31896967
P77338,aefA;b0465;JW0454;kefA;mscK,116.3255762
P77713,b0271;JW0264;yagH,64.3429248
P76121,b1462;JW1457;yddH,61.95170322
P0AAW1,b0790;JW0773;ybhP,91.42310062
P37327,b2347;JW2344;yfdC,112.6869976
P37631,b3492;JW3459;yhiN,180.8831118
P77179,b1632;JW1624;rnfE;ydgQ,78.70659517
P76235,b1784;JW1773;yeaH,149.9878754
P56614,b4518;JW5136;ymdF,79.11838641
Q47156,b0232;JW0222;yafN,142.6126727
P09148,b0758;galB;galT;JW0741,110.5408899
P31119,aas;b2836;JW2804,159.3893525
P37634,b3499;JW3466;yhiR,132.5139829
P07654,b3726;JW3704;phoT;pstA,117.414971
P0AA99,b0224;JW0214;yafK,133.1022561
P0AAN3,b2727;hypB;JW2697,169.6296636
P0AAQ6,b0456;JW0445;ybaA,148.9202685
P0AFU4,b2554;JW2538;yfhA,120.1275641
P60752,b0914;JW0897;msbA,141.7847326
P39830,b0478;JW0467;ybaL;ylaA,193.2913185
P23871,b0475;hemH;JW0464;popA;visA,117.6001682
P0AEY3,b2781;JW2752;mazG,113.9942714
P0AEI6,b1134;JW1120;nudJ;ymfB,93.75331609
P04982,b3748;JW5857;rbsD,164.8907962
P77674,b1444;JW1439;ydcW,208.8043004
P39346,b4267;idnD;JW4224;yjgV,35.19180947
P31131,b1537;JW1530;ydeJ,27.67389599
P76341,b1970;JW1953;yedX,188.2147388
P0A6F3,b3926;glpK;JW3897,110.1487078
P0A6W3,b0087;JW0085;mraY;murX,49.71562088
P0ACS2,b4063;JW4024;marC;soxR,97.90391026
P78067,b1757;JW5287;ynjE,124.3979917
P07102,appA;b0980;JW0963,117.1970921
P0AEL3,b3408;feoA;JW3371,200.8517184
Q47146,b0221;fadE;JW5020;yafH,355.4804157
P76445,b2174;JW2162;yeiU,250.5608029
P0ACK5,b0840;deoR;JW0824;nucR,139.2246548
P25552,b3779;gpp;gppA;JW5603,295.9232022
P52647,b1378;JW1372;ydbK,347.3208486
P06136,b0093;ftsQ;JW0091,121.4566257
P0A873,b2607;JW2588;trmD,141.1855655
P25535,b2906;JW2874;visC,149.4758599
P39265,alsB;b4088;JW4049;yjcX,199.2394141
P75791,b0821;JW0805;ybiU,198.0301859
P04994,b2509;JW2493;xseA,231.2458332
P00363,b4154;frdA;JW4115,220.3627792
B1XC21;C5A0V9;P32684,ECDH10B_4211;rluF;b4022;JW3982;yjbC,143.8654767
P0AAC8,b2528;iscA;JW2512;yfhF,545.6451711
P05719,b4348;hsdS;hss;JW4311,255.3105642
P0AA47,b2014;JW5330;yeeF,354.5544301
P16926,b3250;JW3219;mreC,167.9193138
B1XD43;C4ZRR6;P60472,ECDH10B_0154;ispU;b0174;JW0169;rth;uppS;yaeS,108.8141991
P37659,b3538;JW3506;yhjU,113.1990132
P31069,b1250;JW1242;kch,177.1682756
Q46925,b2810;csdA;JW2781;ygdJ,98.29718178
P37177,b2829;JW2797;ptsP;ygdF;ygdO,69.52735463
P0A6D0,argR;b3237;JW3206;xerA,72.3172947
Q46851,b3001;JW2970;yghZ,119.0817451
P12996,b0775;bioB;JW0758,417.782904
P0A8G0,b1913;JW1898;uvrC,238.6972936
P43671,b0951;JW0934;pqi5B;pqiB,129.7251322
P52095,b0186;JW0181;ldc;ldcC;ldcH,140.7607015
P37344,b1303;JW1296;pspF;ycjB,153.3649993
P13656,b3338;chiA;JW3300;yheB,172.5056658
P10442,b0183;JW0178;rnhB,848.2790453
P0A9S3,b2091;gatD;JW2075,324.7376945
P13445,appR;b2741;JW5437;katF;nur;otsX;rpoS;sigS,349.1619258
P46859,b3437;gntK;JW3400,74.19650072
P0AE70,b2782;chpA;chpAK;JW2753;mazF,143.2772035
P0AC38,aspA;b4139;JW4099,183.976993
P0AER3,b0654;gltJ;JW0649,174.5537281
P0ACY9,b1848;JW1837;yebG,204.1307967
Q2MB16,b4536;JW5298;yobH,310.194274
P25740,b3631;JW3606;pcsA;rfaG;waaG,87.63963249
P0AEF4,b0620;citB;criR;dpiA;JW0612;mpdA,97.75030559
P0AEF0,b4361;dnaC;dnaD;JW4325,46.97361418
P77754,b1743;JW1732;spy,206.9414353
P0A924,b1278;JW1270;pgpB,189.216982
P0AEV1,b1235;hnr;JW1223;ychL,157.0471537
P08191,b4320;fimH;JW4283,211.1356053
P19636,b2440;eutC;JW2433,66.06416857
P75767,b0780;JW0763;ybhK,98.40938944
P21177,b3846;fadB;JW3822;oldB,185.6982368
P39315,b4211;JW4169;qor2;qorB;ytfG,187.5284201
P0A9G8,b0761;JW0744;modE;modR,101.9194195
B1X7S7;C4ZW18;P37617,ECDH10B_3643;zntA;b3469;JW3434;yhhO,139.5187914
P0ADR6,b1976;b2806;JW2777;rlmM;ygdE,179.9680202
P25519,b4173;hflX;JW4131,135.847531
P19319,b1468;JW1463;narZ,154.269197
P11458,b0750;JW0733;nadA;nicA,624.8768546
P37690,b3613;JW5646;yibP,131.1740273
P33030,b2173;JW2161;yeiR,167.2112071
P31802,b2193;JW2181;narP,361.7444357
P08245,b1282;JW1274;yciH,330.1084109
P77737,b1247;JW1239;oppF,344.7716648
B1XGY9;C4ZSR8;P0C0R7,ECDH10B_3353;ftsJ;rlmE;rrmJ;b3179;JW3146;mrsF,214.7197142
P31680,b0055;djlA;JW0054;yabH,150.3909515
P06709,b3973;bioR;birA;dhbB;JW3941,256.9446564
P0AGK1,b4040;cyr;JW4000;ubiA,134.594727
P0AGL5,b2619;JW2600;yfjG,219.0990812
P0A9U1,b0794;JW5104;ybhF,155.1951825
P09099,b3564;JW3536;xylB,98.07603463
P0AD10,b4537;JW1891;yecJ,123.4829001
P20099,b3551;bisC;JW5940,147.558525
P76055,b1344;JW1338;ttcA;ydaO,274.4403368
Q57261,b2745;JW2715;truD;ygbO,342.9305876
P0A832,b2620;JW2601;smpB;smqB,316.3166728
P31441,ade;b3665;JW3640;yicP,58.86544777
P76194,b1679;JW1669;sufE;ynhA,183.2144167
P39161,b4324;JW4287;uxuR,208.891452
P23256,b1622;JW1614;malY,188.5633451
P13016,ampD;b0110;JW0106,359.184358
P64606,b3194;JW3161;mlaE;yrbE,222.8030235
P75863,b0947;JW5126;ycbX,172.5928174
P30745,b0781;bisA;chlA;chlA1;JW0764;moaA;narA,127.9276308
P0ABF1,b0143;JW5808;pcnB,397.4983729
P18390,b4360;JW5795;yjjA,455.0837818
P0A901,b4149;blc;JW4110;yjeL,172.3749385
P0AFI2,b3019;JW2987;parC,376.1571289
P78055,b0825;fsa;fsaA;JW5109;mipB;ybiZ,229.2740286
P0AFL6,b2502;JW2487;ppx,269.6469997
P69425,b3838;JW5580;mttA2;tatB;ysgB,247.0747396
P09549,b2314;dedD;JW5378,238.185278
P27240,b3625;JW3600;rfaY;waaY,370.8190944
P33224,aidB;b4187;JW5867,349.7719869
P24202,b4351;JW4314;mrr,234.208987
P0A7B1,b2501;JW2486;ppk,273.1003812
P02943,b4036;JW3996;lamB;malB,276.3576717
P76007,b1191;cvrA;JW5184;ycgO,117.3713952
P0AE22,aphA;b4055;JW4015;napA;yjbP,98.32332725
P0A8J2,b4362;dnaT;JW4326,194.3807133
P77258,b1650;JW1642;nemA;ydhN,513.7150097
P24242,ascG;b2714;JW5434,150.3800575
P76128,b1487;ddpA;JW5240;yddS,481.3273024
P31828,b1494;JW1489;pqqL;yddC,317.2753402
P52076,b3025;JW2993;qseB;ygiX,122.2627779
P76223,b1754;JW5284;ynjB,295.3022472
P75809,b0844;JW5113;ybjI,269.0369387
P27836,b3794;JW3770;rffM;wecG,255.5502311
P0AAT2,b0579;JW5083;ybdF,183.3015683
P39321,b4221;JW4180;ytfN;ytfO,199.5553386
P24555,b1845;JW1834;ptrB;tlp,213.9571378
P33650,b3409;feoB;JW3372,228.576816
P77316,b0608;JW0601;ybdR,256.7485654
P37642,b3522;JW3490;yhjD,142.7978698
P33218,b1846;JW1835;yebE,174.4665765
P66948,b2494;JW2479;yfgC,325.9796046
P77526,b2302;JW2299;yfcG,183.6501746
P46889,b0890;ftsK;JW0873,198.3570043
P45795,b3280;JW3241;yrdB,210.7434232
P41052,b2701;JW2671;mltB,153.3649993
B1XEM3;C4ZRB5;P0ABB8,ECDH10B_4437;mgtA;b4242;corB;JW4201;mgt,398.1737977
P42616,b3097;JW5516;yqjC,312.0135633
P15977,b3416;JW3379;malA;malQ,289.7790156
P76330,b1956;JW5832;yedQ,158.2563819
P29012,alnB;b1190;dadB;dadX;JW1179,79.73498386
P37637,b3514;JW3482;mdtF;yhiV,380.6890112
P77712,b0443;JW0433;tesC;ybaW,268.76459
P05041,b1812;JW1801;pabB,236.4313524
P03841,b4037;JW3997;malM;molA,986.7193359
P37645,b3524;JW3492;yhjF;yhjG,233.391941
P60340,b3166;JW3135;truB;yhbA,210.0897863
P75864,b0948;JW0931;rlmL;ycbY,371.9084892
P0ADF6,b1851;edd;JW1840,256.606944
P0AE34,artQ;b0862;JW0846,186.0468431
P0AFH0,b1335;JW1329;ogt,194.2935617
P77473,b0457;JW5062;ylaB,388.2167293
P29018,b0887;cydD;htrD;JW0870,288.1776052
P64612,b3232;JW3201;yhcM,254.9183821
P77150,b1636;JW1628;pdxY;ydgS,325.3804375
P02919;P02919-2,b0149;JW0145;mrcB;pbpF;ponB,182.6697193
P76397,b2074;JW5338;mdtA;yegM,272.109032
P06710;P06710-2,b0470;dnaX;dnaZ;dnaZX;JW0459,188.1275872
P0AE82,b3911;cpxA;ecfB;eup;JW3882;ssd,208.466588
P37665,b3552;JW5657;yiaD,600.3654717
P77581,argM;astC;b1748;cstC;JW1737;ydjW,170.5992249
P30130,b4317;fimD;JW5780,161.6117179
P0AGA6,b3669;JW3644;uhpA,283.8636018
P26647,b3018;JW2986;parF;plsC,348.6499103
P45470,b3153;JW5529;yhbO,342.4948297
P0AG40,b0025;JW0023;ribF;yaaC,309.1266671
B1X622;C4ZWB4;P0A843,ECDH10B_0588;ECDH10B_0696;tatE;b0627;JW0622;ybeC,312.3621697
P0A8I8,b0636;JW0631;rlmH;ybeA,220.0686426
P0C960,b1193;emtA;JW5821;mltE;sltZ;ycgP,433.8623712
P33941,b2211;JW2199;yojI;yojJ,296.1955509
P39285,b4159;JW4120;yjeP,406.8453803
P24554,b4389;JW4352;radA;sms,207.5079206
P31827,b1495;JW1490;yddB,324.3781943
P30128,b3406;greB;JW3369,241.8238567
P10908,b3449;JW3414;ugpQ,192.0603024
P75728,b0662;JW0659;ubiF;yleB,185.0881757
B1XFK6;C4ZT78;P0ACI0;P0ACH5,ECDH10B_4554;rob;b4396;JW4359,161.0016568
P06966,b1570;dicA;JW1562,222.0404472
P76272,b1834;JW1823;yebT,217.2906859
P23878,b0588;fepC;JW0580,221.3650224
P75796,b0829;gsiA;JW5897;yliA,273.4380936
P0A756,b3351;JW3314;kefG;yheR,262.2173272
P43340,b0901;JW0884;ycaK,168.3332838
P23524,b3124;garK;JW3093;yhaD,177.5277758
P45544,b3375;frlR;JW5698;yhfR,194.239092
P22939,b0421;ispA;JW0411,354.1295661
P33644,b2593;JW2575;yfiH,203.5207357
P0C093,b3641;JW5641;slmA;ttk;yicB,532.2020394
P32160,b3920;JW3891;yiiQ,263.6226465
P10384,b2344;fadL;JW2341;ttr,266.4332851
P0A698,b4058;dinE;JW4019;uvrA,332.2000489
Q47150,b0226;dinJ;JW0216,392.5852024
P0A7Y8,b3704;JW3681;rnpA,318.4736745
P32099,b4386;JW4349;lplA;yjjF,311.0984717
P0AAK4,b2713;hydN;JW2683,61.99201083
P0A6Z1,b2526;hsc;hscA;JW2510,367.0388944
P42588,b3073;JW5510;patA;ygjG,398.108434
P52060,b2953;JW5479;yggU,289.7136519
P0ADA3,b2742;JW2712;nlpD,280.1814474
P0AFK4,b1125;JW1111;potB,289.898849
P0ADT2,b3037;JW5927;ygiB,683.5734462
P0AFM4,b0384;JW5054;psiF,234.5249115
Q47147,b0223;JW0213;yafJ,223.6200696
P52096,b0187;JW0182;yaeR,108.4241958
P77148,b1668;JW1658;ydhS,235.6687761
P30864,b0208;JW0198;yafC,177.4297303
P69795,b1738;celA;chbB;JW1727,213.7937286
P75838,b0905;JW0888;ycaO,352.5063679
P55734,b2668;JW2643;ygaP,331.7207152
P46888,b1895;JW1884;uspC;yecG,144.0288859
P33940,b2210;JW2198;mqo;yojH,339.1394937
P36979,b2517;JW2501;rlmN;yfgB,357.1471897
P32695,b4049;dusA;JW5950;yjbN,370.3942304
P32701,b4061;JW4022;yjcC,390.2865794
B1XAK0;C5A012;P69428,ECDH10B_4027;tatA;b3836;JW3813;mttA1;yigT,376.4730534
P22525,b0925;JW0908;ycbB,287.1535741
P27830,b3788;JW5598;rffG,288.8312421
P77293,b2351;JW2347;yfdH,365.5464236
P23367,b4170;JW4128;mutL,181.9507187
P36649,b0123;cueO;JW0119;yacK,492.1994625
P09546,b1014;JW0999;poaA;putA,223.6636454
P0A8N0,b0956;JW0939;ycbG,336.3833249
P76062,b1356;JW1351;racR;ydaR,41.45474015
P13001,b3412;bioB;bioH;JW3375,228.4678765
P28905,b4259;holC;JW4216,266.1173606
P0A8R9,b4480;hdfR;JW5607;pssR;yifA;yifD,103.2463023
P0AEI4,b0835;JW0819;rimO;yliG,965.8574255
P0AFQ7,b1100;JW1086;ycfH,447.2074574
P0A6L7,b1521;JW1514;uxaB,100.2199636
P03018,b3813;JW3786;mutU;pdeB;rad;recL;uvrD,190.9382258
P77748,b1687;JW1677;ydiJ,655.4997423
P0A6U5,b3740;gidB;JW3718;rsmG,492.7441599
P0AA39,b1086;JW1072;rluC;yceC,652.0899366
P0AFW0,b3842;hlyT;JW3818;rfaH;sfrB,383.6303772
P00803,b2568;JW2552;lepB,311.0657899
P0ACL2,b3094;exuR;JW3065,327.8206818
P23894,b1829;htpX;JW1818,114.4518172
P0AFD6,b2281;JW2276;nuoI,524.4237605
P69831,b2092;gatC;JW2076,725.7874945
P76187,b1647;JW1639;ydhF,345.7303322
P0AFW8,b0189;JW0184;rof;yaeO,288.0250899
P03004,b3702;dnaA;JW3679,378.2814487
P0AAG3,b0652;gltL;JW0647,385.0248025
Q46893,b2747;ispD;JW2717;ygbP,442.6537872
P36562,b1991;cobT;JW1969,243.3272215
P77434,b2379;JW2376;yfdZ,322.2429805
