experiment name,type of perturbation,strain type (background),growth media,inducer or drug added,concentration ,growth rate (1/hours),cell size (μm3),cel length (μm),cel width (μm),aspect ratio,surface area (μm2),surface-to-volume ratio (μm-1),DNA content per cell (genome equivalents),doubling time (minutes),C period (minutes),D period (minutes),C+D period (minutes),number of origins,time of initiation (minutes),time of termination (minutes),cell size per ori (μm3),intensity of transcription reporter (AU),RNA/protein
NCM_20150409,nutrient conditions,NCM3722,TSB,None,N/A,2.0023,3.8086,4.303,1.0809,3.9808,14.612,3.8367,6.376,20.771,37.6692,34.7298,72.4020,11.202,10.683,6.811,0.34,NaN,0.43111
NCM_20150409,nutrient conditions,NCM3722,MOPS glucose synthetic rich,None,N/A,1.9522,2.9365,4.2086,1.0006,4.206,13.23,4.5053,6.3217,21.303,41.5908,33.5676,75.1560,11.536,10.055,9.0391,0.25456,NaN,0.48289
NCM_20150409,nutrient conditions,NCM3722,MOPS glucose + 12 a. a.,None,N/A,0.75155,0.89672,2.7009,0.69872,3.8655,5.9287,6.6116,1.8845,55.337,44.1312,27.5088,71.6400,2.4531,39.035,27.828,0.36555,NaN,0.2777
NCM_20150409,nutrient conditions,NCM3722,MOPS glucose,None,N/A,1.0344,0.96492,2.8449,0.70242,4.0502,6.2779,6.5062,2.3701,40.205,32.6994,32.9370,65.6340,3.1006,14.773,7.2677,0.3112,NaN,0.28684
NCM_20150409,nutrient conditions,NCM3722,MOPS sorbitol,None,N/A,0.56926,0.60029,2.4865,0.59055,4.2106,4.6132,7.6849,1.7107,73.057,58.7736,25.8390,84.6120,2.2317,61.502,47.218,0.26898,NaN,0.25586
NCM_20150409,nutrient conditions,NCM3722,MOPS glycerol,None,N/A,0.75501,0.51746,2.3497,0.56215,4.1799,4.1497,8.0194,1.8845,55.084,44.1312,27.2724,71.4060,2.4559,38.764,27.811,0.2107,NaN,0.19283
NCM_20150423,nutrient conditions,NCM3722,TSB,None,N/A,1.8144,2.8519,3.7332,1.0037,3.7194,11.771,4.1275,6.213,22.922,42.6138,36.8412,79.4520,11.053,12.232,9.0022,0.25802,NaN,0.4379
NCM_20150423,nutrient conditions,NCM3722,MOPS glucose synthetic rich,None,N/A,1.8154,2.8416,3.9132,1.004,3.8978,12.342,4.3435,6.2263,22.91,42.5706,36.9048,79.4760,11.074,12.163,8.914,0.2566,NaN,0.47242
NCM_20150423,nutrient conditions,NCM3722,MOPS glucose + 12 a. a.,None,N/A,1.4587,1.5949,2.922,0.88847,3.2888,8.1559,5.1136,3.7259,28.51,42.2790,31.1652,73.4460,5.9632,12.086,25.855,0.26746,NaN,0.35854
NCM_20150423,nutrient conditions,NCM3722,MOPS glucose + 6 a. a.,None,N/A,1.2686,0.85536,2.3728,0.70302,3.3752,5.2406,6.1268,3.4851,32.784,38.5860,38.4534,77.0400,5.0979,21.313,27.115,0.16779,NaN,0.30621
